Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Author Keywords,Index Keywords,Correspondence Address,Document Type,Publication Stage,Open Access,Source,EID
"Baker P.B., Phillips G.F.","7402424462;9132976400;","Erratum: The forensic analysis of drugs of abuse (Analyst (1983) 108 (777-807))",1984,"The Analyst","109","4",,"532","",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-37049091493&partnerID=40&md5=c0da2882f02111958b563d947f463520",,"Baker, P.B.; Phillips, G.F.",,,,Erratum,"Final","",Scopus,2-s2.0-37049091493
"Riße M., Weiler G.","7006695378;7006780335;","Heroin addiction as a rare cause of symmetrical necrosis of the globus pallidus [Heroinsucht als seltene Ursache einer symmetrischen Pallidumnekrose]",1984,"Zeitschrift für Rechtsmedizin","93","3",,"227","235",,10,"10.1007/BF00200454","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0021749944&doi=10.1007%2fBF00200454&partnerID=40&md5=86ea4fd6d2a083067e1e29fcca1e4b75","Institut für Rechtsmedizin des Universitätsklinikum Essen-GHS, Hufelandstr. 55, Essen 1, D-4300, Germany","Riße, M., Institut für Rechtsmedizin des Universitätsklinikum Essen-GHS, Hufelandstr. 55, Essen 1, D-4300, Germany; Weiler, G., Institut für Rechtsmedizin des Universitätsklinikum Essen-GHS, Hufelandstr. 55, Essen 1, D-4300, Germany","CO intoxication; Globus pallidus necrosis; Heroin intoxication","carbon monoxide; diamorphine; autopsy; brain injury; brain necrosis; case report; central nervous system; drug abuse; drug dependence; etiology; globus pallidus; histology; histopathology; human; hypoxia; intoxication; intravenous drug administration; methodology; Adult; Calcinosis; Carbon Monoxide Poisoning; Case Report; Diagnosis, Differential; English Abstract; Forensic Medicine; Globus Pallidus; Heroin Dependence; Human; Hypoxia, Brain; Male; Necrosis","Weiler, G.; Institut für Rechtsmedizin des Universitätsklinikum Essen-GHS, Hufelandstr. 55, Essen 1, D-4300, Germany",Article,"Final","",Scopus,2-s2.0-0021749944
"Ishitani A.","7005597649;","Effects of serum concentrations on toxicity of heavy metals in cell culture",1984,"Japanese Journal of Legal Medicine","38","6",,"804","813",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0021735674&partnerID=40&md5=81c49f244812bec3e50be64e7e54d0a8","Department of Legal Medicine, Nara Medical University, Kashihara, Japan","Ishitani, A., Department of Legal Medicine, Nara Medical University, Kashihara, Japan",,"heavy metal; metallothionein; animal cell; biological model; blood and hemopoietic system; cell culture; controlled study; cytology; diagnosis; forensic medicine; histology; human; in vitro study; intoxication; mouse; nervous system; neuroblastoma cell; nonhuman; preliminary communication; toxicity; Animal; Blood Physiology; Cells, Cultured; Culture Media; Dose-Response Relationship, Drug; English Abstract; Metals; Mice; Neuroblastoma","Japan",Article,"Final","",Scopus,2-s2.0-0021735674
"Wehler R.","57225270762;","Treatment refusal.",1984,"Hospital and Community Psychiatry","35","12",,"1236","",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0021727423&partnerID=40&md5=199de5836f178bdd18c8925e4ea1c105",,"Wehler, R.",,"psychotropic agent; adult; female; forensic psychiatry; human; letter; male; mental disease; patient compliance; Adult; Commitment of Mentally Ill; Female; Human; Male; Mental Disorders; Patient Compliance; Psychotropic Drugs","Wehler, R.",Letter,"Final","",Scopus,2-s2.0-0021727423
"Puschel K., Bartsch N., Naeve W., Janssen W.","35500896800;6602825285;7004287360;7102276605;","Alcohol and fatal industrial accidents [DIE BEDEUTUNG DES ALKOHOLS BEI TODLICHEN BETRIEBSUNFALLEN]",1984,"Lebensversicherungsmedizin","36","9",,"219","223",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0021719328&partnerID=40&md5=3baaf26084f5818ac5af2fd9956fb0b2","Institut fur Rechtsmedizin der Universitat Hamburg, D-2000 Hamburg 54, Germany","Puschel, K., Institut fur Rechtsmedizin der Universitat Hamburg, D-2000 Hamburg 54, Germany; Bartsch, N., Institut fur Rechtsmedizin der Universitat Hamburg, D-2000 Hamburg 54, Germany; Naeve, W., Institut fur Rechtsmedizin der Universitat Hamburg, D-2000 Hamburg 54, Germany; Janssen, W., Institut fur Rechtsmedizin der Universitat Hamburg, D-2000 Hamburg 54, Germany",,"alcohol; addiction; case report; drug abuse; forensic medicine; human; occupational accident; psychological aspect; short survey; traffic medicine; Accidents, Occupational; Adult; Aged; Alcoholic Intoxication; English Abstract; Ethanol; Female; Forensic Medicine; Germany, West; Human; Male; Middle Age","Germany",Article,"Final","",Scopus,2-s2.0-0021719328
"Harzer K.","7006835542;","Fatal colchicine intoxication [Tödliche Vergiftung mit Colchicin]",1984,"Zeitschrift für Rechtsmedizin","93","3",,"181","185",,2,"10.1007/BF00200448","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0021715036&doi=10.1007%2fBF00200448&partnerID=40&md5=c614d4b346f36134423a3c489dec8621","Chemisches Untersuchungsamt der Landeshauptstadt Stuttgart, Stafflenbergstr. 81, Stuttgart 1, D-7000, Germany","Harzer, K., Chemisches Untersuchungsamt der Landeshauptstadt Stuttgart, Stafflenbergstr. 81, Stuttgart 1, D-7000, Germany","Colchicine poisoning, serum levels; Poisoning, colchicine","colchicine; colchicine; article; female; forensic medicine; heroin dependence; high performance liquid chromatography; human; male; metabolism; methodology; pathology; case report; diagnosis; drug tolerance; drug toxicity; fatality; high performance liquid chromatography; intoxication; intravenous drug administration; toxicity; Chromatography, High Pressure Liquid; Colchicine; English Abstract; Female; Forensic Medicine; Heroin Dependence; Human; Male","Harzer, K.; Chemisches Untersuchungsamt der Landeshauptstadt Stuttgart, Stafflenbergstr. 81, Stuttgart 1, D-7000, Germany",Article,"Final","",Scopus,2-s2.0-0021715036
"Mastronardi V., D'Introno N., Storici C.","6603246465;6505518289;57199532152;","Preliminary technical, psychologic and forensic considerations on use of the lie-detector. Comparison with the psychologic stress evaluator and use of the latter in psychotherapy, psychiatric diagnosis, psychopharmacotherapy and criminology [CONSIDERAZIONI PRELIMINARI TECNICO-PSICOLOGICHE E MEDICO LEGALI SULL-IMPIEGO DEL POLIGRAFO (LIE-DETECTOR), CONFRONTI COL P.S.E. (PSYCHOLOGICAL STRESS EVALUATOR) ED UTILIZZAZIONE DI QUEST'ULTIMO IN PSICOTERAPIA DIAGNOSTICA PICHIATRICA, PSICOFARMACOTERAPIA ED IN CRIMINOLOGIA]",1984,"Rassegna di Studi Psichiatrici","73","2",,"343","360",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0021708425&partnerID=40&md5=b839958c639bb84406a02fd010fbe959","Universita degli Studi di Bari, Istituto di Criminologia e Psichiatria Forense, Scuola di Specializzazione in Criminologia Clinica e Psichiatria Forense, Bari, Italy","Mastronardi, V., Universita degli Studi di Bari, Istituto di Criminologia e Psichiatria Forense, Scuola di Specializzazione in Criminologia Clinica e Psichiatria Forense, Bari, Italy; D'Introno, N., Universita degli Studi di Bari, Istituto di Criminologia e Psichiatria Forense, Scuola di Specializzazione in Criminologia Clinica e Psichiatria Forense, Bari, Italy; Storici, C., Universita degli Studi di Bari, Istituto di Criminologia e Psichiatria Forense, Scuola di Specializzazione in Criminologia Clinica e Psichiatria Forense, Bari, Italy",,"cimetidine; ranitidine; somatostatin; digestive system; drug comparison; drug efficacy; drug indication; drug interaction; drug therapy; gastrointestinal hemorrhage; human; intravenous drug administration; major clinical study; methodology; therapy","Italy",,"Final","",Scopus,2-s2.0-0021708425
"Frost Reed B.J., May P.A.","6505582918;7202957006;","Inhalant abuse and juvenile delinquency: A control study in Albuquerque, New Mexico",1984,"International Journal of the Addictions","19","7",,"789","803",,19,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0021708416&partnerID=40&md5=b9183b9ef32d04ef121a2d30973cf3c4","Department of Sociology, University of New Mexico, Albuquerque, NM 87131, United States","Frost Reed, B.J., Department of Sociology, University of New Mexico, Albuquerque, NM 87131, United States; May, P.A., Department of Sociology, University of New Mexico, Albuquerque, NM 87131, United States",,"adolescent; age; central nervous system; controlled study; criminal behavior; demography; drug abuse; epidemiology; ethnic or racial aspects; forensic medicine; geographic distribution; human; inhalant; intoxication; juvenile; juvenile delinquency; legal aspect; psychological aspect; sex difference; social aspect; theoretical study; Adolescent; Crime; Female; Hispanic Americans; Human; Juvenile Delinquency; Male; Mexico; New Mexico; Solvents; Substance-Related Disorders; Support, U.S. Gov't, P.H.S.","United States",Article,"Final","",Scopus,2-s2.0-0021708416
"Grabowski J.","7102507531;","Cocaine 1984: introduction and overview",1984,"NIDA Research Monograph Series","NO. 50",,,"1","8",,3,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0021707288&partnerID=40&md5=de08cb82f239e4aa3e6eec56ad5bc1f0","Department of Psychiatry, Louisiana State University Medical Center, Shreveport, LA 71130, United States","Grabowski, J., Department of Psychiatry, Louisiana State University Medical Center, Shreveport, LA 71130, United States",,"cocaine; behavior; central nervous system; drug abuse; drug dependence; forensic medicine; human; intoxication; intranasal drug administration; legal aspect; nervous system; neurochemistry; neurotoxicity; psychological aspect; review","United States",,"Final","",Scopus,2-s2.0-0021707288
"Takahashi K., Shimamine M., Ono M., Kawasaki Y., Sekita K., Furuya T.","55741294700;7003824320;7403147770;7202934661;7006970960;7202283999;","Microanalysis of amphetamines III. Detection of amphetamines in the hair of monkeys treated with methamphetamine",1984,"Bulletin of the National Institute of Hygienic Sciences","NO. 102",,,"21","24",,1,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0021704566&partnerID=40&md5=15fa6103bd7e237ed26b3c7f2a73c4e7",,"Takahashi, K.; Shimamine, M.; Ono, M.; Kawasaki, Y.; Sekita, K.; Furuya, T.",,"amphetamine; methamphetamine; animal experiment; drug analysis; drug determination; drug distribution; drug identification; drug metabolism; drug monitoring; drug tissue level; forensic medicine; gas chromatography; monkey; nonhuman; subcutaneous drug administration; Amphetamines; Animals; Chromatography, Gas; Hair; Humans; Macaca fascicularis; Male; Methamphetamine; Substance-Related Disorders",,Article,"Final","",Scopus,2-s2.0-0021704566
