Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Author Keywords,Index Keywords,Correspondence Address,Document Type,Publication Stage,Open Access,Source,EID
"Lurie I.S.","7006426157;","High-performance liquid chromatography of seized drugs at elevated pressure with 1.7 μm hybrid C18 stationary phase columns",2005,"Journal of Chromatography A","1100","2",,"168","175",,41,"10.1016/j.chroma.2005.09.054","https://www.scopus.com/inward/record.uri?eid=2-s2.0-28844441999&doi=10.1016%2fj.chroma.2005.09.054&partnerID=40&md5=4fb4db154badf112e04292bf85cd5edb","US Drug Enforcement Administration, Special Testing and Research Laboratory, 22624 Dulles Summit Court, Dulles, VA 20166, United States","Lurie, I.S., US Drug Enforcement Administration, Special Testing and Research Laboratory, 22624 Dulles Summit Court, Dulles, VA 20166, United States","Elevated pressure; High-performance liquid chromatography; Seized drugs","Drug products; Electrophoresis; High pressure effects; Particles (particulate matter); Screening; C18 stationary phase columns; Drug profiling; Elevated pressure; Seized drugs; High performance liquid chromatography; anabolic agent; central stimulant agent; illicit drug; narcotic analgesic agent; psychedelic agent; acidity; article; capillary electrophoresis; high performance liquid chromatography; pressure gradient; priority journal; screening; separation technique; solute; Alkanes; Anabolic Agents; Central Nervous System Depressants; Central Nervous System Stimulants; Chromatography, High Pressure Liquid; Forensic Sciences; Hallucinogens; Narcotics; Pharmaceutical Preparations; Pressure; Street Drugs","Lurie, I.S.; US Drug Enforcement Administration, 22624 Dulles Summit Court, Dulles, VA 20166, United States; email: islurie@adelphia.net",Article,"Final","",Scopus,2-s2.0-28844441999
"Schulz F., Püschel K., Tsokos M.","7102769788;35500896800;35238873000;","Postmortem fetal extrusion in a case of maternal heroin intoxication",2005,"Forensic Science, Medicine, and Pathology","1","4",,"273","276",,17,"10.1385/FSMP:1:4:273","https://www.scopus.com/inward/record.uri?eid=2-s2.0-29044433563&doi=10.1385%2fFSMP%3a1%3a4%3a273&partnerID=40&md5=75b79cb6906a639ff218dd4e4f68d6ad","Institute of Legal Medicine, University of Hamburg, Hamburg, Germany; Institute of Legal Medicine, University of Hamburg, Butenfeld 34, 22529 Hamburg, Germany","Schulz, F., Institute of Legal Medicine, University of Hamburg, Hamburg, Germany; Püschel, K., Institute of Legal Medicine, University of Hamburg, Hamburg, Germany; Tsokos, M., Institute of Legal Medicine, University of Hamburg, Hamburg, Germany, Institute of Legal Medicine, University of Hamburg, Butenfeld 34, 22529 Hamburg, Germany","Drug-related fatality; Forensic pathology; Heroin addiction; Heroin intoxication; Postmortem fetal extrusion; Pregnancy",,"Tsokos, M.; Institute of Legal Medicine, Butenfeld 34, 22529 Hamburg, Germany; email: mtsokos@web.de",Article,"Final","",Scopus,2-s2.0-29044433563
"Flanagan R.J., Spencer E.P., Morgan P.E., Barnes T.R.E., Dunk L.","7101647898;7103118462;54421771300;14524043100;14065650400;","Suspected clozapine poisoning in the UK/Eire, 1992-2003",2005,"Forensic Science International","155","2-3",,"91","99",,38,"10.1016/j.forsciint.2004.10.024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-26844556137&doi=10.1016%2fj.forsciint.2004.10.024&partnerID=40&md5=d303f41f5ede475eeaa16697b4a3c5a0","Medical Toxicology Unit, Guy's and St. Thomas' NHS Foundation Trust, Avonley Road, London SE14 5ER, United Kingdom; Division of Neuroscience and Psychological Medicine, Imperial College Faculty of Medicine, Charing Cross Campus, St Dunstan's Road, London W6 8RP, United Kingdom; Novartis Pharmaceuticals UK Ltd., Frimley Business Park, Frimley, Surrey GU16 7SG, United Kingdom","Flanagan, R.J., Medical Toxicology Unit, Guy's and St. Thomas' NHS Foundation Trust, Avonley Road, London SE14 5ER, United Kingdom; Spencer, E.P., Medical Toxicology Unit, Guy's and St. Thomas' NHS Foundation Trust, Avonley Road, London SE14 5ER, United Kingdom; Morgan, P.E., Medical Toxicology Unit, Guy's and St. Thomas' NHS Foundation Trust, Avonley Road, London SE14 5ER, United Kingdom; Barnes, T.R.E., Division of Neuroscience and Psychological Medicine, Imperial College Faculty of Medicine, Charing Cross Campus, St Dunstan's Road, London W6 8RP, United Kingdom; Dunk, L., Novartis Pharmaceuticals UK Ltd., Frimley Business Park, Frimley, Surrey GU16 7SG, United Kingdom","Fatal poisoning: clozapine; Fatal poisoning: interpretation of results; Plasma:whole blood distribution: clozapine; Post-mortem redistribution: clozapine","clozapine; norclozapine; adult; article; autopsy; blood analysis; concentration (parameters); drug blood level; drug intoxication; drug overdose; drug surveillance program; female; human; leukocyte count; male; pathologist; priority journal; time series analysis; United Kingdom; Adult; Aged; Antipsychotic Agents; Clozapine; Female; Forensic Medicine; Great Britain; Humans; Leukocyte Count; Male; Middle Aged; Overdose; Poisoning; Postmortem Changes; Suicide; Treatment Refusal","Flanagan, R.J.; Medical Toxicology Unit, Avonley Road, London SE14 5ER, United Kingdom; email: robert.flanagan@gstt.nhs.uk",Article,"Final","",Scopus,2-s2.0-26844556137
"Appenzeller B.M.R., Schneider S., Yegles M., Maul A., Wennig R.","8865534400;8721683900;55886639100;55292277000;56632710200;","Drugs and chronic alcohol abuse in drivers",2005,"Forensic Science International","155","2-3",,"83","90",,64,"10.1016/j.forsciint.2004.07.023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-26844543638&doi=10.1016%2fj.forsciint.2004.07.023&partnerID=40&md5=8c1f5af1efa7f00d0e91fc79892f082b","Centre de Recherche Public, Santé Laboratoire National de Santé, Campus Limpertsberg, 162a Avenue de la Faïencerie, L-1511 Luxembourg, Luxembourg; Département Statistique et Traitement Informatique des Données, Université de Metz, 57045 Metz Cedex 1, France","Appenzeller, B.M.R., Centre de Recherche Public, Santé Laboratoire National de Santé, Campus Limpertsberg, 162a Avenue de la Faïencerie, L-1511 Luxembourg, Luxembourg; Schneider, S., Centre de Recherche Public, Santé Laboratoire National de Santé, Campus Limpertsberg, 162a Avenue de la Faïencerie, L-1511 Luxembourg, Luxembourg; Yegles, M., Centre de Recherche Public, Santé Laboratoire National de Santé, Campus Limpertsberg, 162a Avenue de la Faïencerie, L-1511 Luxembourg, Luxembourg; Maul, A., Département Statistique et Traitement Informatique des Données, Université de Metz, 57045 Metz Cedex 1, France; Wennig, R., Centre de Recherche Public, Santé Laboratoire National de Santé, Campus Limpertsberg, 162a Avenue de la Faïencerie, L-1511 Luxembourg, Luxembourg","Blood alcohol concentration; Chronic alcohol abuse; Driving under the influence; Illicit drugs; Medicinal drugs; Poly-drug use","antidepressant agent; benzodiazepine derivative; cannabis; carbohydrate deficient transferrin; illicit drug; psychotropic agent; adult; alcohol abuse; alcohol blood level; alcoholism; article; blood analysis; driver; drug abuse; drug use; female; human; male; multiple drug abuse; priority journal; statistical analysis; Adult; Age Distribution; Automobile Driving; Central Nervous System Depressants; Ethanol; Female; Forensic Medicine; Gas Chromatography-Mass Spectrometry; Humans; Luxembourg; Male; Psychotropic Drugs; Street Drugs; Substance Abuse Detection; Substance-Related Disorders; Transferrin","Appenzeller, B.M.R.; Centre de Recherche Public, 162a Avenue de la Faïencerie, L-1511 Luxembourg, Luxembourg; email: brice.appenzeller@cu.lu",Article,"Final","",Scopus,2-s2.0-26844543638
"Papafotiou K., Carter J.D., Stough C.","57204376350;7403987973;7004331792;","The relationship between performance on the standardised field sobriety tests, driving performance and the level of Δ9-tetrahydrocannabinol (THC) in blood",2005,"Forensic Science International","155","2-3",,"172","178",,75,"10.1016/j.forsciint.2004.11.009","https://www.scopus.com/inward/record.uri?eid=2-s2.0-26844513819&doi=10.1016%2fj.forsciint.2004.11.009&partnerID=40&md5=86424de717fdc5d57cb591b7d7152baa","Swinburne Centre for Neuropsychology, Swinburne University of Technology, PO Box 218, Hawthorn, Vic. 3122, Australia","Papafotiou, K., Swinburne Centre for Neuropsychology, Swinburne University of Technology, PO Box 218, Hawthorn, Vic. 3122, Australia; Carter, J.D., Swinburne Centre for Neuropsychology, Swinburne University of Technology, PO Box 218, Hawthorn, Vic. 3122, Australia; Stough, C., Swinburne Centre for Neuropsychology, Swinburne University of Technology, PO Box 218, Hawthorn, Vic. 3122, Australia","Δ9-tetrahydrocannabinol; Driving impairment; Marijuana; SFSTs","cannabis; dronabinol; adult; article; cigarette smoking; driving ability; drug blood level; female; human; human experiment; male; normal human; priority journal; screening; task performance; Adult; Automobile Driver Examination; Automobile Driving; Computer Simulation; Female; Forensic Medicine; Gas Chromatography-Mass Spectrometry; Humans; Male; Marijuana Abuse; Psychotropic Drugs; Substance Abuse Detection; Tetrahydrocannabinol; Time Factors","Papafotiou, K.; Swinburne Centre for Neuropsychology, PO Box 218, Hawthorn, Vic. 3122, Australia; email: kpapafotiou@swin.edu.au",Article,"Final","",Scopus,2-s2.0-26844513819
"Castelló A., Alvarez-Seguí M., Verdú F.","57574975800;6507136192;6603905283;","Luminous lip-prints as criminal evidence",2005,"Forensic Science International","155","2-3",,"185","187",,33,"10.1016/j.forsciint.2004.12.005","https://www.scopus.com/inward/record.uri?eid=2-s2.0-26844499909&doi=10.1016%2fj.forsciint.2004.12.005&partnerID=40&md5=15242d619321860c1c36f5d1084b47b0","Department of Legal Medicine, College of Medicine and Odontology, University of Valencia E.G., 46010 Valencia, Spain","Castelló, A., Department of Legal Medicine, College of Medicine and Odontology, University of Valencia E.G., 46010 Valencia, Spain; Alvarez-Seguí, M., Department of Legal Medicine, College of Medicine and Odontology, University of Valencia E.G., 46010 Valencia, Spain; Verdú, F., Department of Legal Medicine, College of Medicine and Odontology, University of Valencia E.G., 46010 Valencia, Spain","Criminalistics; Latent prints; Luminescence; Nile Red","nile red; reagent; unclassified drug; article; crime; finger dermatoglyphics; forensic medicine; human; lip print; luminescence; priority journal; skin examination; Forensic Medicine; Humans; Indicators and Reagents; Lip; Luminescence; Oxazines; Ultraviolet Rays","Verdú, F.; Department of Legal Medicine, , 46010 Valencia, Spain; email: fernando.verdu@uv.es",Article,"Final","",Scopus,2-s2.0-26844499909
"Leth P.M., Gregersen M.","6701320933;7004945206;","Ethylene glycol poisoning",2005,"Forensic Science International","155","2-3",,"179","184",,89,"10.1016/j.forsciint.2004.11.012","https://www.scopus.com/inward/record.uri?eid=2-s2.0-26844454863&doi=10.1016%2fj.forsciint.2004.11.012&partnerID=40&md5=bcecb500f9d0e81829e70ab4328dc3ba","Institute of Forensic Medicine, University of Southern Denmark, Faculty of Health Sciences, Winsløvparken 17, DK-5000 Odense C, Denmark; Institute of Forensic Medicine, University of Aarhus, Denmark","Leth, P.M., Institute of Forensic Medicine, University of Southern Denmark, Faculty of Health Sciences, Winsløvparken 17, DK-5000 Odense C, Denmark; Gregersen, M., Institute of Forensic Medicine, University of Aarhus, Denmark","Antifreeze; Ethylene glycol; Poisoning","4 methylpyrazole; alcohol; aldehyde derivative; antidote; antifreeze protein; bicarbonate; calcium oxalate; cytotoxin; ethylene glycol; glycoaldehyde; glycolic acid; glyoxylic acid; magnesium; oxalic acid; pyridoxine; thiamine; unclassified drug; adult; alcohol intoxication; article; cardiopulmonary insufficiency; central nervous system depression; clinical article; human; ingestion; kidney failure; male; medical literature; metabolic acidosis; metabolite; priority journal; suicide attempt; Acidosis; Adult; Brain; Calcium Oxalate; Ethylene Glycol; Forensic Pathology; Humans; Kidney Calculi; Liver; Lung; Male; Middle Aged; Seizures; Suicide","Leth, P.M.; Institute of Forensic Medicine, Winsløvparken 17, DK-5000 Odense C, Denmark; email: pleth@health.sdu.dk",Article,"Final","",Scopus,2-s2.0-26844454863
"Miskelly G.M., Wagner J.H.","6602688637;7404357233;","Using spectral information in forensic imaging",2005,"Forensic Science International","155","2-3",,"112","118",,27,"10.1016/j.forsciint.2004.11.005","https://www.scopus.com/inward/record.uri?eid=2-s2.0-26844452940&doi=10.1016%2fj.forsciint.2004.11.005&partnerID=40&md5=aa6bfdb968ee0300a7475a7e55a27d8e","Forensic Science Programme, Department of Chemistry, University of Auckland, Private Bag 92019, Auckland, New Zealand","Miskelly, G.M., Forensic Science Programme, Department of Chemistry, University of Auckland, Private Bag 92019, Auckland, New Zealand; Wagner, J.H., Forensic Science Programme, Department of Chemistry, University of Auckland, Private Bag 92019, Auckland, New Zealand","Forensic Science; Imaging; Spectroscopy","2,6 bis(benzimidazol 2 yl) 4 [4' (dimethylamino)phenyl]pyridine; cyanoacrylate; pyridine derivative; reagent; unclassified drug; zinc complex; algorithm; article; camera; computer program; forensic medicine; image enhancement; imaging system; principal component analysis; priority journal; spectroscopy; Chlorides; Cyanoacrylates; Dermatoglyphics; Forensic Medicine; Humans; Image Processing, Computer-Assisted; Indicators and Reagents; Ninhydrin; Shoes; Soil; Spectrophotometry; Zinc Compounds","Miskelly, G.M.; Forensic Science Programme, Private Bag 92019, Auckland, New Zealand; email: g.miskelly@auckland.ac.nz",Article,"Final","",Scopus,2-s2.0-26844452940
"Sánchez De La Torre C., Martínez M.A., Almarza E.","6506376565;55728599600;56389507000;","Determination of several psychiatric drugs in whole blood using capillary gas-liquid chromatography with nitrogen phosphorus detection: Comparison of two solid phase extraction procedures",2005,"Forensic Science International","155","2-3",,"193","204",,77,"10.1016/j.forsciint.2004.12.007","https://www.scopus.com/inward/record.uri?eid=2-s2.0-26844444188&doi=10.1016%2fj.forsciint.2004.12.007&partnerID=40&md5=4d3cc6882cfa23eecb71597a1005095c","National Institute of Toxicology and Forensic Sciences, Ministry of Justice, C/Luis Cabrera 9, 28002 Madrid, Spain","Sánchez De La Torre, C., National Institute of Toxicology and Forensic Sciences, Ministry of Justice, C/Luis Cabrera 9, 28002 Madrid, Spain; Martínez, M.A., National Institute of Toxicology and Forensic Sciences, Ministry of Justice, C/Luis Cabrera 9, 28002 Madrid, Spain; Almarza, E., National Institute of Toxicology and Forensic Sciences, Ministry of Justice, C/Luis Cabrera 9, 28002 Madrid, Spain","GC; Psychiatric drugs; Screening; Solid phase extraction; Systematic toxicological analysis","aminophenazone; antidepressant agent; chlorpromazine; clomethiazole; clotiapine; clozapine; cyclizine; ephedrine; fenfluramine; fluoxetine; haloperidol; levomepromazine; lidocaine; mepivacaine; methadone; mirtazapine; neuroleptic agent; nitrogen; olanzapine; oxprenolol; phosphorus; piracetam; prazepam; primidone; propranolol; thiopental; thioridazine; unindexed drug; venlafaxine; viloxazine; accuracy; article; capillary gas chromatography; concentration (parameters); drug blood level; drug determination; drug screening; human; liquid chromatography; priority journal; sensitivity analysis; signal noise ratio; solid phase extraction; Adult; Chromatography, Gas; Female; Forensic Medicine; Humans; Molecular Structure; Nitrogen; Phosphorus; Psychotropic Drugs; Reproducibility of Results; Substance Abuse Detection; Suicide, Attempted","Martínez, M.A.; National Institute of Toxicology and Forensic Sciences, C/Luis Cabrera 9, 28002 Madrid, Spain; email: mariamart@terra.es",Article,"Final","",Scopus,2-s2.0-26844444188
"Idoine F.A., Carter J.F., Sleeman R.","9335931500;7403988730;6602770698;","Bulk and compound-specific isotopic characterisation of illicit heroin and cling film",2005,"Rapid Communications in Mass Spectrometry","19","22",,"3207","3215",,27,"10.1002/rcm.2153","https://www.scopus.com/inward/record.uri?eid=2-s2.0-27944495632&doi=10.1002%2frcm.2153&partnerID=40&md5=d2c95b1013686dcbdfb56dd959daa510","Mass Spec. Analytical Ltd., Building 20F, Golf Course Lane, Filton, Bristol BS99 7AR, United Kingdom","Idoine, F.A., Mass Spec. Analytical Ltd., Building 20F, Golf Course Lane, Filton, Bristol BS99 7AR, United Kingdom; Carter, J.F., Mass Spec. Analytical Ltd., Building 20F, Golf Course Lane, Filton, Bristol BS99 7AR, United Kingdom; Sleeman, R., Mass Spec. Analytical Ltd., Building 20F, Golf Course Lane, Filton, Bristol BS99 7AR, United Kingdom",,"diamorphine; isotope; solvent; chemistry; conference paper; forensic science; mass fragmentography; methodology; packaging; Forensic Sciences; Gas Chromatography-Mass Spectrometry; Heroin; Isotopes; Product Packaging; Solvents","Idoine, F.A.; Mass Spec. Analytical Ltd., Golf Course Lane, Filton, Bristol BS99 7AR, United Kingdom; email: fay.idoine@msaltd.co.uk",Conference Paper,"Final","",Scopus,2-s2.0-27944495632
