Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Author Keywords,Index Keywords,Correspondence Address,Document Type,Publication Stage,Open Access,Source,EID
"Campos Mendes J., Azeredo-Lopes S., Cardoso G.","57191380340;54960993200;7005057979;","Patterns of antipsychotics' prescription in Portuguese acute psychiatric wards: A cross-sectional study",2016,"Psychiatry Research","246",,,"142","148",,12,"10.1016/j.psychres.2016.09.035","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84989287576&doi=10.1016%2fj.psychres.2016.09.035&partnerID=40&md5=207b447f42c7636bf29e3835f89fbc14","Departamento de Psiquiatria e Saúde Mental, Hospital Sousa Martins, Unidade Local de Saúde da Guarda, Guarda, Portugal; Department of Biostatistics and Informatics, NOVA Medical School/Faculdade de Ciências Médicas, Universidade Nova de Lisboa, Lisbon, Portugal; Chronic Diseases Research Center (CEDOC), NOVA Medical School/Faculdade de Ciências Médicas, Universidade Nova de Lisboa, Lisbon, Portugal","Campos Mendes, J., Departamento de Psiquiatria e Saúde Mental, Hospital Sousa Martins, Unidade Local de Saúde da Guarda, Guarda, Portugal; Azeredo-Lopes, S., Department of Biostatistics and Informatics, NOVA Medical School/Faculdade de Ciências Médicas, Universidade Nova de Lisboa, Lisbon, Portugal; Cardoso, G., Chronic Diseases Research Center (CEDOC), NOVA Medical School/Faculdade de Ciências Médicas, Universidade Nova de Lisboa, Lisbon, Portugal","Antipsychotics; High-doses; Polypharmacy; Psychiatric inpatient units","chlorpromazine; clozapine; cyamemazine; haloperidol; levomepromazine; neuroleptic agent; olanzapine; neuroleptic agent; adult; age; Article; bipolar disorder; clinical practice; cross-sectional study; dementia; depression; drug megadose; drug use; female; health care delivery; health care quality; hospitalization; human; major clinical study; male; middle aged; mood disorder; obsessive compulsive disorder; personality disorder; polypharmacy; Portugal; prediction; prescription; prevalence; priority journal; psychiatric department; psychosis; schizophrenia; adolescent; adverse drug reaction; aged; delayed release formulation; forensic psychiatry; hospital patient; mental disease; multivariate analysis; polypharmacy; psychiatric department; risk factor; statistical model; statistics and numerical data; very elderly; young adult; Adolescent; Adult; Age Factors; Aged; Aged, 80 and over; Antipsychotic Agents; Commitment of Mentally Ill; Cross-Sectional Studies; Delayed-Action Preparations; Drug-Related Side Effects and Adverse Reactions; Female; Hospitalization; Humans; Inpatients; Logistic Models; Male; Mental Disorders; Middle Aged; Multivariate Analysis; Polypharmacy; Portugal; Practice Patterns, Physicians'; Psychiatric Department, Hospital; Risk Factors; Young Adult","Campos Mendes, J.; Departamento de Psiquiatria e Saúde Mental, Portugal; email: joao.camposmendes@gmail.com",Article,"Final","",Scopus,2-s2.0-84989287576
"Chen L., Lu Y.-X.","57192810550;7405475957;","Research Progress of the Death Caused by Insulin Intoxication",2016,"Journal of Forensic Medicine","32","6",,"452","454",,,"10.3969/j.issn.1004-5619.2016.06.015","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85008221921&doi=10.3969%2fj.issn.1004-5619.2016.06.015&partnerID=40&md5=cb608db74589e079ade6953bb5fd83f8","Wuhai Public Security Bureau, Wuhai, 016000, China; Department of Forensic Medicine, China Criminal Police College, Shenyang, 110035, China","Chen, L., Wuhai Public Security Bureau, Wuhai, 016000, China; Lu, Y.-X., Department of Forensic Medicine, China Criminal Police College, Shenyang, 110035, China","Forensic pathology; Insulin; Poisoning; Review","insulin; death; drug overdose; homicide; human; suicide; Death; Drug Overdose; Homicide; Humans; Insulin; Suicide",,Review,"Final","",Scopus,2-s2.0-85008221921
"Zeng S.-H., Ou J.-X., Gu J.-H., Yang K.-R., Wang R., Li Z., Li S.-H., Zhang R.-L.","57192817569;57192807514;57201504466;57192803396;57192810623;57192816394;57190819426;57190817229;","Effect of the chinese herbal medicinal ingredients in huoxiang zhengqi liquid on alcohol metabolism in rats",2016,"Journal of Forensic Medicine","32","6",,"424","427",,1,"10.3969/j.issn.1004-5619.2016.06.007","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85008156827&doi=10.3969%2fj.issn.1004-5619.2016.06.007&partnerID=40&md5=aea0057c032e40c4efe2b3eb7d5e5171","School of Forensic Medicine, Kunming Medical University, Kunming, 650500, China; Criminal Investigation Corps, Public Security Department of Yunnan Province, Kunming, 650228, China; Traffic Police Branch, Kunming Public Security Bureau, Kunming, 650031, China","Zeng, S.-H., School of Forensic Medicine, Kunming Medical University, Kunming, 650500, China; Ou, J.-X., Criminal Investigation Corps, Public Security Department of Yunnan Province, Kunming, 650228, China; Gu, J.-H., School of Forensic Medicine, Kunming Medical University, Kunming, 650500, China; Yang, K.-R., School of Forensic Medicine, Kunming Medical University, Kunming, 650500, China; Wang, R., School of Forensic Medicine, Kunming Medical University, Kunming, 650500, China; Li, Z., Traffic Police Branch, Kunming Public Security Bureau, Kunming, 650031, China; Li, S.-H., School of Forensic Medicine, Kunming Medical University, Kunming, 650500, China; Zhang, R.-L., School of Forensic Medicine, Kunming Medical University, Kunming, 650500, China","Chromatography, gas; Ethanol; Forensic toxicology; Huoxiang Zhengqi liquid; Pharmacokinetics","alcohol; herbaceous agent; Huoxiang-zhengqi; animal; metabolism; rat; Animals; Drugs, Chinese Herbal; Ethanol; Rats","Zhang, R.-L.; School of Forensic Medicine, China; email: 267181534@qq.com",Article,"Final","",Scopus,2-s2.0-85008156827
"Chen Q., Bai J., Li C.-R., Zhang W.-F.","57192809689;57192818123;57192817089;57192812537;","Changes of HbCO in the blood of rats with different CO concentration and inhalation time",2016,"Journal of Forensic Medicine","32","6",,"410","412",,,"10.3969/j.issn.1004-5619.2016.06.003","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85008145984&doi=10.3969%2fj.issn.1004-5619.2016.06.003&partnerID=40&md5=e019b70ca58ff5fbd8bb8ee25a8ca3dc","Forensic Medical Examination Center of Beijing Public Security Bureau, Beijing, 100192, China","Chen, Q., Forensic Medical Examination Center of Beijing Public Security Bureau, Beijing, 100192, China; Bai, J., Forensic Medical Examination Center of Beijing Public Security Bureau, Beijing, 100192, China; Li, C.-R., Forensic Medical Examination Center of Beijing Public Security Bureau, Beijing, 100192, China; Zhang, W.-F., Forensic Medical Examination Center of Beijing Public Security Bureau, Beijing, 100192, China","Carbon monoxide poisoning; Carboxyhemoglobin; Forensic pathology; Models, animal; Rats","carboxyhemoglobin; animal; blood; carbon monoxide intoxication; disease model; dose response; rat; Sprague Dawley rat; Animals; Carbon Monoxide Poisoning; Carboxyhemoglobin; Disease Models, Animal; Dose-Response Relationship, Drug; Rats; Rats, Sprague-Dawley","Chen, Q.; Forensic Medical Examination Center of Beijing Public Security BureauChina; email: cq7q7q7q7@163.com",Article,"Final","",Scopus,2-s2.0-85008145984
"Andrade A.F.B., Mamo S.K., Gonzalez-Rodriguez J.","57189255358;56518023100;7004803809;","Rapid screening method for new psychoactive substances of forensic interest: Electrochemistry and analytical determination of phenethylamines derivatives (NBOMe) via cyclic and differential pulse voltammetry",2016,"Analytical Chemistry","89","3",,"1445","1452",,24,"10.1021/acs.analchem.6b02426","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85017174072&doi=10.1021%2facs.analchem.6b02426&partnerID=40&md5=e6911f1cbd7bc4f7793dc3e751eaacae","Criminalistic Institute, Federal District Civil Police, SPO, lote 23, bloco E, 70.610-200, Brasilia, DF, Brazil; School of Chemistry, University of Lincoln, Brayford Pool, Lincoln, LN6 7TS, United Kingdom","Andrade, A.F.B., Criminalistic Institute, Federal District Civil Police, SPO, lote 23, bloco E, 70.610-200, Brasilia, DF, Brazil, School of Chemistry, University of Lincoln, Brayford Pool, Lincoln, LN6 7TS, United Kingdom; Mamo, S.K., School of Chemistry, University of Lincoln, Brayford Pool, Lincoln, LN6 7TS, United Kingdom; Gonzalez-Rodriguez, J., School of Chemistry, University of Lincoln, Brayford Pool, Lincoln, LN6 7TS, United Kingdom",,"C (programming language); Drug products; Electrochemical oxidation; Forensic science; Voltammetry; Analytical determination; Analytical signals; Differential pulse voltammetry; Lower limit of quantitations; Rapid screening; Screening methods; Screening procedures; Voltammetric behaviors; Screening; 2-(4-bromo-2,5-dimethoxyphenyl)-N-((2-methoxyphenyl)methyl)ethanamine; 2-(4-iodo-2,5-dimethoxyphenyl)-N-(2-methoxybenzyl)ethanamine; anisole derivative; homoveratrylamine; phenethylamine derivative; psychotropic agent; analogs and derivatives; chemistry; electrochemical analysis; forensic medicine; limit of detection; pH; procedures; Anisoles; Dimethoxyphenylethylamine; Electrochemical Techniques; Forensic Medicine; Hydrogen-Ion Concentration; Limit of Detection; Phenethylamines; Psychotropic Drugs","Gonzalez-Rodriguez, J.; School of Chemistry, Brayford Pool, United Kingdom; email: jgonzalezrodriguez@lincoln.ac.uk",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85017174072
"Piri-Moghadam H., Lendor S., Pawliszyn J.","36185730900;57189523047;56981758200;","Development of a biocompatible in-tube solid-phase microextraction device: A sensitive approach for direct analysis of single drops of complex matrixes",2016,"Analytical Chemistry","88","24",,"12188","12195",,32,"10.1021/acs.analchem.6b03160","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85015880826&doi=10.1021%2facs.analchem.6b03160&partnerID=40&md5=d3d1ffbeeed2ece6e0eebe26a56c3cdf","Department of Chemistry, University of Waterloo, 200 University Avenue West, Waterloo, ON  N2L 3G1, Canada","Piri-Moghadam, H., Department of Chemistry, University of Waterloo, 200 University Avenue West, Waterloo, ON  N2L 3G1, Canada; Lendor, S., Department of Chemistry, University of Waterloo, 200 University Avenue West, Waterloo, ON  N2L 3G1, Canada; Pawliszyn, J., Department of Chemistry, University of Waterloo, 200 University Avenue West, Waterloo, ON  N2L 3G1, Canada",,"Biochemistry; Biocompatibility; Blood; Coatings; Desorption; Diagnosis; Drops; Patient monitoring; Polypyrroles; Pore size; Tubes (components); Analytical procedure; Cetyltrimethylammonium bromide; Forensic applications; In-tube solid phase microextraction; Levels of detections; Phosphate-buffered salines; Solid-phase microextraction; Static conditions; Extraction; biomaterial; drug; nanomaterial; polymer; polypyrrole; pyrrole derivative; blood; chemistry; devices; drug monitoring; equipment design; human; isolation and purification; liquid chromatography; sample size; solid phase microextraction; tandem mass spectrometry; urine; Biocompatible Materials; Chromatography, Liquid; Drug Monitoring; Equipment Design; Humans; Nanostructures; Pharmaceutical Preparations; Polymers; Pyrroles; Sample Size; Solid Phase Microextraction; Tandem Mass Spectrometry","Pawliszyn, J.; Department of Chemistry, 200 University Avenue West, Canada; email: janusz@uwaterloo.ca",Article,"Final","",Scopus,2-s2.0-85015880826
"Wade L.","56388414800;","After the vanishing",2016,"Science","354","6318",,"1369","1371",,,"10.1126/science.354.6318.1369","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85006288685&doi=10.1126%2fscience.354.6318.1369&partnerID=40&md5=4983fcb07e6ff3c4619c29a4b4d87edd","Veracruz, Mexico","Wade, L., Veracruz, Mexico",,"anthropology; applied science; crime; domestic violence; legal system; social conflict; anthropology; Article; cemetery; DNA determination; epidemic; exhumation; expert witness; forensic anthropology; government; human; human rights; human trafficking; labor; legal aspect; Mexico; non profit organization; police; priority journal; Veracruz (state); biometry; body remains; burial; crime victim; drug traffic; family; manpower; procedures; trends; Mexico [North America]; Veracruz; Biometric Identification; Body Remains; Burial; Crime Victims; Drug Trafficking; Family; Forensic Anthropology; Humans; Mexico","Wade, L.Mexico",Article,"Final","",Scopus,2-s2.0-85006288685
"Salouros H., Collins M., Hibbert D.B.","24734458900;57198092712;7006086020;","Assignment of batch membership of 3,4-methylenedioxy methylamphetamine hydrochloride by comparison of organic impurity profiles",2016,"Chemometrics and Intelligent Laboratory Systems","159",,,"181","186",,1,"10.1016/j.chemolab.2016.10.010","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84999851069&doi=10.1016%2fj.chemolab.2016.10.010&partnerID=40&md5=00256a637d56d0bed217fdd84cbc5bbe","National Measurement Institute, 105 Delhi Road, Riverside Corporate Park, North Ryde, NSW, Australia; School of Chemistry, UNSW Australia, Sydney, NSW  2052, Australia","Salouros, H., National Measurement Institute, 105 Delhi Road, Riverside Corporate Park, North Ryde, NSW, Australia; Collins, M., National Measurement Institute, 105 Delhi Road, Riverside Corporate Park, North Ryde, NSW, Australia; Hibbert, D.B., School of Chemistry, UNSW Australia, Sydney, NSW  2052, Australia","Correlation coefficient; Drug profiling; Fisher transform; Forensic analysis; GC-MS; impurity analysis; MDMA; Pearson's distance","3,4 methylenedioxymethamphetamine; chemical compound; methylamine; sodium borohydride; sodium cyanoborohydride; unclassified drug; [2 (3,4 methylenedioxyphenyl) 1 methylvinyl] n,n dimethylamine; amination; Article; batch membership assignment; batch process; chemical analysis; chemical parameters; comparative study; controlled study; correlation analysis; correlation coefficient; Fisher transform; hydrogenation; impurity analysis; mass fragmentography; mathematical phenomena; organic impurity; Pearson correlation coefficient; Pearson distance; powder; priority journal; receiver operating characteristic; synthesis; tablet; thermoregulation","Hibbert, D.B.; School of Chemistry, Australia; email: b.hibbert@unsw.edu.au",Article,"Final","",Scopus,2-s2.0-84999851069
"Curry S.H., Whelpton R.","7203018422;7003918322;","Introduction to Drug Disposition and Pharmacokinetics",2016,"Introduction to Drug Disposition and Pharmacokinetics",,,,"1","323",,3,"10.1002/9781119261087","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85017434207&doi=10.1002%2f9781119261087&partnerID=40&md5=ec43f542274b64f1438f19381c13c680","ADispell Inc., Rochester, NY, United States; Queen Mary University of London, United Kingdom","Curry, S.H., ADispell Inc., Rochester, NY, United States; Whelpton, R., Queen Mary University of London, United Kingdom",,"Veterinary medicine; Basic concepts; Basic principles; Biomedical science; Drug development; Forensic scientists; Learning experiences; Research papers; Supporting material; Pharmacokinetics","Curry, S.H.; ADispell Inc.United States",Book,"Final","",Scopus,2-s2.0-85017434207
"Değirmenci B., Akar T., Özsoy S., Özdemir M., Özdemir B., Demirel B.","57203599326;10739456300;35724534500;56835180200;12040388300;8624540200;","The first fatal dengue virus infection case in Turkey: Autopsy findings",2016,"Romanian Journal of Legal Medicine","24","4",,"277","280",,,"10.4323/rjlm.2016.277","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85008932890&doi=10.4323%2frjlm.2016.277&partnerID=40&md5=a0f580f75feecb7faf17e374a6165c90","Council of Forensic Medicine, Ankara, Turkey; Gazi University School of Medicine, Department of Forensic Medicine, Ankara, Turkey; Gülhane Military Medical Academy, Department of Forensic Medicine, Ankara, Turkey","Değirmenci, B., Council of Forensic Medicine, Ankara, Turkey; Akar, T., Gazi University School of Medicine, Department of Forensic Medicine, Ankara, Turkey; Özsoy, S., Gülhane Military Medical Academy, Department of Forensic Medicine, Ankara, Turkey; Özdemir, M., Council of Forensic Medicine, Ankara, Turkey; Özdemir, B., Council of Forensic Medicine, Ankara, Turkey; Demirel, B., Gazi University School of Medicine, Department of Forensic Medicine, Ankara, Turkey","Autopsy; Dengue virus; Turkey","gliclazide; glucose; immunoglobulin G; immunoglobulin M; metformin; tolbutamide; aged; Article; autopsy; blood examination; bradycardia; bradypnea; cardiopulmonary arrest; case report; cause of death; dengue hemorrhagic fever; diabetes mellitus; drug urine level; dyspnea; ecchymosis; endotracheal intubation; fatigue; fever; glucose blood level; human; immunoglobulin blood level; lung hemorrhage; male; medical history; mesocolon; rash; resuscitation; Thai (citizen); toxicology; travel; Turkey (republic)","Akar, T.; Gazi University School of Medicine, Mevlana Boulevard, Turkey; email: tanerakar@yahoo.com",Article,"Final","",Scopus,2-s2.0-85008932890
