Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Author Keywords,Index Keywords,Correspondence Address,Document Type,Publication Stage,Open Access,Source,EID
"Kohiyama A., Sato M., Kaneko T.","35223405000;56307583000;35494141000;","Determination of psychotropic drugs by gas chromatography/mass spectrometry with dispersive liquid-liquid microextraction [Japanese Source]",2009,"Bunseki Kagaku","58","8",,"661","665",,3,"10.2116/bunsekikagaku.58.661","https://www.scopus.com/inward/record.uri?eid=2-s2.0-72149116422&doi=10.2116%2fbunsekikagaku.58.661&partnerID=40&md5=96a59f84d15d0579c784fff5dfd392c7","Forensic Science Laboratory, Chiba Prefectural Police H.Q, 1-71-1, Chuoko, Chuo-ku, Chiba-shi, Chiba 260-0024, Japan","Kohiyama, A., Forensic Science Laboratory, Chiba Prefectural Police H.Q, 1-71-1, Chuoko, Chuo-ku, Chiba-shi, Chiba 260-0024, Japan; Sato, M., Forensic Science Laboratory, Chiba Prefectural Police H.Q, 1-71-1, Chuoko, Chuo-ku, Chiba-shi, Chiba 260-0024, Japan; Kaneko, T., Forensic Science Laboratory, Chiba Prefectural Police H.Q, 1-71-1, Chuoko, Chuo-ku, Chiba-shi, Chiba 260-0024, Japan","Benzodiazepines; Dispersive liquid-liquid microextraction (DLLME); Liquid phase microextraction; Phenothiazines; Tricyclic antidepressant drugs",,"Kohiyama, A.; Forensic Science Laboratory, 1-71-1, Chuoko, Chuo-ku, Chiba-shi, Chiba 260-0024, Japan",Article,"Final","All Open Access, Bronze",Scopus,2-s2.0-72149116422
"McIlhenny E.H., Pipkin K.E., Standish L.J., Wechkin H.A., Strassman R., Barker S.A.","35178275800;35178159000;6603712781;57208939807;6603879300;7203040407;","Direct analysis of psychoactive tryptamine and harmala alkaloids in the Amazonian botanical medicine ayahuasca by liquid chromatography-electrospray ionization-tandem mass spectrometry",2009,"Journal of Chromatography A","1216","51",,"8960","8968",,38,"10.1016/j.chroma.2009.10.088","https://www.scopus.com/inward/record.uri?eid=2-s2.0-70449864863&doi=10.1016%2fj.chroma.2009.10.088&partnerID=40&md5=3db11f4be149b2ae71817a245b653eac","Department of Comparative Biomedical Sciences, School of Veterinary Medicine, Louisiana State University, Skip Bertman Drive at River Road, Baton Rouge, LA 70803, United States; School of Naturopathic Medicine, Bastyr University, Kenmore, WA 98028, United States; Evergreen Hospice and Palliative Care, Evergreen Hospital, Kirkland, WA 98034, United States; Department of Psychiatry, School of Medicine, University of New Mexico, Albuquerque, NM 87131, United States; Cottonwood Research Foundation, Taos, NM 87571, United States","McIlhenny, E.H., Department of Comparative Biomedical Sciences, School of Veterinary Medicine, Louisiana State University, Skip Bertman Drive at River Road, Baton Rouge, LA 70803, United States; Pipkin, K.E., Department of Comparative Biomedical Sciences, School of Veterinary Medicine, Louisiana State University, Skip Bertman Drive at River Road, Baton Rouge, LA 70803, United States; Standish, L.J., School of Naturopathic Medicine, Bastyr University, Kenmore, WA 98028, United States; Wechkin, H.A., Evergreen Hospice and Palliative Care, Evergreen Hospital, Kirkland, WA 98034, United States; Strassman, R., Department of Psychiatry, School of Medicine, University of New Mexico, Albuquerque, NM 87131, United States, Cottonwood Research Foundation, Taos, NM 87571, United States; Barker, S.A., Department of Comparative Biomedical Sciences, School of Veterinary Medicine, Louisiana State University, Skip Bertman Drive at River Road, Baton Rouge, LA 70803, United States","Ayahuasca; Dimethyltryptamine; Direct injection; Harmala Alkaloids; LC/MS/MS","Degree of specificity; Direct analysis; Direct injection; Electrospray ionization tandem mass spectrometry; Extraction procedure; Forensic examinations; Internal standards; LC/MS/MS; Low limits of detections; Matrix effects; Rapid detection; Tryptamines; Chromatographic analysis; Chromatography; Deuterium; High pressure liquid chromatography; Ionization; Mass spectrometers; Mass spectrometry; Particle detectors; Sugar (sucrose); Electrospray ionization; 1,2,3,4 tetrahydro 2 methyl beta carboline; 5 methoxy n,n dimethyltryptamine; alkaloid derivative; bufotenine; harmaline; harmalol; harmine; harmol; herbaceous agent; n methyltryptamine; n,n dimethyltryptamine; n,n dimethyltryptamine n oxide; tetrahydroharmine; tryptamine derivative; unclassified drug; article; ayahuasca; controlled study; drug determination; electrospray mass spectrometry; ethnobotany; liquid chromatography; priority journal; qualitative analysis; quantitative analysis; Alkaloids; Banisteriopsis; Brazil; Chromatography, Liquid; Molecular Weight; Plants, Medicinal; Psychotropic Drugs; Reference Standards; Reproducibility of Results; Spectrometry, Mass, Electrospray Ionization; Tandem Mass Spectrometry; Time Factors; Tryptamines; Banisteriopsis caapi","Barker, S.A.; Department of Comparative Biomedical Sciences, Skip Bertman Drive at River Road, Baton Rouge, LA 70803, United States; email: sbarker@vetmed.lsu.edu",Article,"Final","",Scopus,2-s2.0-70449864863
"Kjelsberg E., Rustad A.-B.","6701888979;14062366800;","Previous offending in young female prisoners is associated with drug problems, drug offenses and low social-emotional restraint",2009,"International Journal of Forensic Mental Health","8","4",,"279","285",,3,"10.1080/14999011003635571","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84878658450&doi=10.1080%2f14999011003635571&partnerID=40&md5=e7b1d3043da0240edd0638ce962cab55","Centre for Forensic Psychiatry, Oslo University Hospital, Oslo, Norway","Kjelsberg, E., Centre for Forensic Psychiatry, Oslo University Hospital, Oslo, Norway; Rustad, A.-B., Centre for Forensic Psychiatry, Oslo University Hospital, Oslo, Norway","Crime; Female offenders; Prisoner health; Repeat offending; Weinberger Adjustment Inventory",,"Kjelsberg, E.; Centre for Forensic Psychiatry, Building 7 Gaustad, Oslo, 0407, Norway; email: ellen.kjelsberg@kompetanse-senteret.no",Article,"Final","",Scopus,2-s2.0-84878658450
"De Backer B., Debrus B., Lebrun P., Theunis L., Dubois N., Decock L., Verstraete A., Hubert P., Charlier C.","35190322100;15833890200;23570812200;24774034300;7004615318;35487125500;7004046648;7102000944;7005717202;","Innovative development and validation of an HPLC/DAD method for the qualitative and quantitative determination of major cannabinoids in cannabis plant material",2009,"Journal of Chromatography B: Analytical Technologies in the Biomedical and Life Sciences","877","32",,"4115","4124",,189,"10.1016/j.jchromb.2009.11.004","https://www.scopus.com/inward/record.uri?eid=2-s2.0-70849088937&doi=10.1016%2fj.jchromb.2009.11.004&partnerID=40&md5=bc5a864b8580b406f17fa183b88822e9","Laboratory of Clinical, Forensic and Environmental Toxicology, CIRM, CHU Sart-Tilman, B-4000 Liège, Belgium; Laboratory of Analytical Chemistry, CIRM, Department of Pharmacy, B-4000 Liège, Belgium; Department of Clinical Chemistry, Microbiology and Immunology, Ghent University, Ghent, Belgium","De Backer, B., Laboratory of Clinical, Forensic and Environmental Toxicology, CIRM, CHU Sart-Tilman, B-4000 Liège, Belgium; Debrus, B., Laboratory of Analytical Chemistry, CIRM, Department of Pharmacy, B-4000 Liège, Belgium; Lebrun, P., Laboratory of Analytical Chemistry, CIRM, Department of Pharmacy, B-4000 Liège, Belgium; Theunis, L., Laboratory of Clinical, Forensic and Environmental Toxicology, CIRM, CHU Sart-Tilman, B-4000 Liège, Belgium; Dubois, N., Laboratory of Clinical, Forensic and Environmental Toxicology, CIRM, CHU Sart-Tilman, B-4000 Liège, Belgium; Decock, L., Department of Clinical Chemistry, Microbiology and Immunology, Ghent University, Ghent, Belgium; Verstraete, A., Department of Clinical Chemistry, Microbiology and Immunology, Ghent University, Ghent, Belgium; Hubert, P., Laboratory of Analytical Chemistry, CIRM, Department of Pharmacy, B-4000 Liège, Belgium; Charlier, C., Laboratory of Clinical, Forensic and Environmental Toxicology, CIRM, CHU Sart-Tilman, B-4000 Liège, Belgium","Cannabinoids; Cannabis sativa; CBD; CBG; HPLC; THC","Analytical conditions; Analytical method; Cannabinoids; Cannabinol; Cannabis sativa; Direct analysis; Diverse applications; Error measurements; HPLC method; Material quality; Plant material; Quantitative determinations; Tolerance interval; Acids; Design of experiments; Heating; Hemp; High performance liquid chromatography; Uncertainty analysis; Quality control; cannabidiol; cannabidiolic acid; cannabigerol; cannabigerolic acid; cannabinoid; cannabinol; cannabis; tetrahydrocannabinol; tetrahydrocannabinolic acid; unclassified drug; accuracy; article; controlled study; gas chromatography; high performance liquid chromatography; photodiode array detector; priority journal; qualitative analysis; quantitative analysis; validation study; Cannabidiol; Cannabinoids; Cannabis; Chromatography, High Pressure Liquid; Molecular Structure; Plant Extracts; Sensitivity and Specificity; Tetrahydrocannabinol; Cannabis; Cannabis sativa","De Backer, B.; Laboratory of Clinical, Forensic and Environmental Toxicology, , B-4000 Liège, Belgium; email: b.debacker@ulg.ac.be",Article,"Final","All Open Access, Green",Scopus,2-s2.0-70849088937
"Strano-Rossi S., Botrè F., Bermejo A.M., Tabernero M.J.","6602607015;7003288177;7006333785;7003733933;","A rapid method for the extraction, enantiomeric separation and quantification of amphetamines in hair",2009,"Forensic Science International","193","1-3",,"95","100",,26,"10.1016/j.forsciint.2009.09.016","https://www.scopus.com/inward/record.uri?eid=2-s2.0-70450223312&doi=10.1016%2fj.forsciint.2009.09.016&partnerID=40&md5=f61b7c78b96bd47cea4b688c0c54d17c","Laboratorio Antidoping, Federazione Medico Sportiva Italiana, Largo Giulio Onesti 1, 00197 Rome, RM, Italy; Dipartimento per le Tecnologie, Risorse e lo Sviluppo, Università La Sapienza, Via del Castro Laurenziano 9, 00161 Rome, RM, Italy; Instituto de Medicina Legal, University of Santiago de Compostela, C/San Francisco s/n, 15782 Santiago de Compostela, Spain","Strano-Rossi, S., Laboratorio Antidoping, Federazione Medico Sportiva Italiana, Largo Giulio Onesti 1, 00197 Rome, RM, Italy; Botrè, F., Laboratorio Antidoping, Federazione Medico Sportiva Italiana, Largo Giulio Onesti 1, 00197 Rome, RM, Italy, Dipartimento per le Tecnologie, Risorse e lo Sviluppo, Università La Sapienza, Via del Castro Laurenziano 9, 00161 Rome, RM, Italy; Bermejo, A.M., Instituto de Medicina Legal, University of Santiago de Compostela, C/San Francisco s/n, 15782 Santiago de Compostela, Spain; Tabernero, M.J., Instituto de Medicina Legal, University of Santiago de Compostela, C/San Francisco s/n, 15782 Santiago de Compostela, Spain","Amphetamines; Chiral separation; Designer drugs; Forensic toxicology; Hair analysis","3,4 methylenedioxyamphetamine; 3,4 methylenedioxymethamphetamine; amphetamine; buffer; carbonic acid; chloride; hexane; methamphetamine; n ethyl 3,4 methylenedioxyamphetamine; analytic method; article; chirality; controlled study; extraction; gas chromatography; hair analysis; human; mass spectrometry; pH; priority journal; quantitative analysis; separation technique; substance abuse; Amphetamine-Related Disorders; Amphetamines; Designer Drugs; Forensic Toxicology; Gas Chromatography-Mass Spectrometry; Hair; Humans; Indicators and Reagents; Proline; Stereoisomerism; Ultrasonics","Strano-Rossi, S.; Laboratorio Antidoping, Largo Giulio Onesti 1, 00197 Rome, RM, Italy; email: sabina.stranorossi@gmail.com",Article,"Final","",Scopus,2-s2.0-70450223312
"Liu Q., Zhou L., Zheng N., Zhuo L., Liu Y., Liu L.","57190066785;7404125234;57205928056;35486097300;55251623400;56106215400;","Poisoning deaths in China: Type and prevalence detected at the Tongji Forensic Medical Center in Hubei",2009,"Forensic Science International","193","1-3",,"88","94",,44,"10.1016/j.forsciint.2009.09.013","https://www.scopus.com/inward/record.uri?eid=2-s2.0-70449678567&doi=10.1016%2fj.forsciint.2009.09.013&partnerID=40&md5=93364f5ff0c8e215860696f0a900caae","Faculty of Forensic Medicine, Tongji Medical College, Huazhong University of Science and Technology, Wuhan, 430030, China; Key Laboratory of Evidence Science (China University of Political Science and Law), Ministry of Education, Beijing, 100040, China","Liu, Q., Faculty of Forensic Medicine, Tongji Medical College, Huazhong University of Science and Technology, Wuhan, 430030, China; Zhou, L., Faculty of Forensic Medicine, Tongji Medical College, Huazhong University of Science and Technology, Wuhan, 430030, China; Zheng, N., Faculty of Forensic Medicine, Tongji Medical College, Huazhong University of Science and Technology, Wuhan, 430030, China; Zhuo, L., Faculty of Forensic Medicine, Tongji Medical College, Huazhong University of Science and Technology, Wuhan, 430030, China; Liu, Y., Faculty of Forensic Medicine, Tongji Medical College, Huazhong University of Science and Technology, Wuhan, 430030, China; Liu, L., Key Laboratory of Evidence Science (China University of Political Science and Law), Ministry of Education, Beijing, 100040, China","Pesticides; Poisoning death; Retrospective study","alcohol; carbon monoxide; heavy metal; herbicide; insecticide; rodenticide; accident; adolescent; adult; aged; article; child; China; death; exposure; fatality; female; government; homicide; human; infant; ingestion; intoxication; male; prevalence; priority journal; public health; retrospective study; suicide attempt; Accidents; Adolescent; Adult; Age Distribution; Aged; Animals; Animals, Poisonous; Bites and Stings; Child; Child, Preschool; China; Ethanol; Female; Forensic Toxicology; Homicide; Humans; Incidence; Infant; Male; Metals; Methanol; Middle Aged; Overdose; Pesticides; Pharmaceutical Preparations; Plants, Toxic; Poisoning; Prevalence; Retrospective Studies; Sex Distribution; Solvents; Street Drugs; Suicide; Young Adult","Liu, L.; Key Laboratory of Evidence Science (China University of Political Science and Law), , Beijing, 100040, China; email: caixe_liu0222@tom.com",Article,"Final","",Scopus,2-s2.0-70449678567
"George K.A., Archer M.S., Green L.M., Conlan X.A., Toop T.","34879820700;7102488415;35749686100;12791651000;6701631569;","Effect of morphine on the growth rate of Calliphora stygia (Fabricius) (Diptera: Calliphoridae) and possible implications for forensic entomology",2009,"Forensic Science International","193","1-3",,"21","25",,44,"10.1016/j.forsciint.2009.08.013","https://www.scopus.com/inward/record.uri?eid=2-s2.0-70449635155&doi=10.1016%2fj.forsciint.2009.08.013&partnerID=40&md5=835cf3927beb73e684c10a61158b32c8","School of Life and Environmental Sciences, Deakin University, Pigdons Road, Waurn Ponds, Vic. 3217, Australia; Department of Forensic Medicine, Monash University, 57-83 Kavanagh Street, Southbank, Vic. 3006, Australia; Institute for Technology, Research and Innovation, Deakin University, Pigdons Road, Waurn Ponds, Vic. 3217, Australia","George, K.A., School of Life and Environmental Sciences, Deakin University, Pigdons Road, Waurn Ponds, Vic. 3217, Australia; Archer, M.S., Department of Forensic Medicine, Monash University, 57-83 Kavanagh Street, Southbank, Vic. 3006, Australia; Green, L.M., School of Life and Environmental Sciences, Deakin University, Pigdons Road, Waurn Ponds, Vic. 3217, Australia; Conlan, X.A., Institute for Technology, Research and Innovation, Deakin University, Pigdons Road, Waurn Ponds, Vic. 3217, Australia; Toop, T., School of Life and Environmental Sciences, Deakin University, Pigdons Road, Waurn Ponds, Vic. 3217, Australia","Calliphoridae; Entomotoxicology; Forensic entomology; Insect growth rates; Minimum post-mortem interval; Morphine","codeine; diamorphine; morphine; permanganate potassium; accuracy; animal tissue; arthropod larva; article; cadaver; chemoluminescence; concentration process; controlled study; fly; forensic identification; growth rate; high performance liquid chromatography; nonhuman; priority journal; pupa (life cycle stage); qualitative analysis; quantitative analysis; reliability; temperature measurement; zoology; Animals; Chromatography, High Pressure Liquid; Codeine; Diptera; Entomology; Forensic Anthropology; Heroin; Larva; Morphine; Narcotics; Pupa; Time Factors","George, K.A.; School of Life and Environmental Sciences, Pigdons Road, Waurn Ponds, Vic. 3217, Australia; email: kageo@deakin.edu.au",Article,"Final","",Scopus,2-s2.0-70449635155
"Viel G., Nalesso A., Cecchetto G., Montisci M., Ferrara S.D.","25226336000;15728025800;7005539247;6603171719;7103237527;","Stability of cocaine in formalin solution and fixed tissues",2009,"Forensic Science International","193","1-3",,"79","83",,12,"10.1016/j.forsciint.2009.09.010","https://www.scopus.com/inward/record.uri?eid=2-s2.0-70449632280&doi=10.1016%2fj.forsciint.2009.09.010&partnerID=40&md5=a2ab52e483bece0d06ed58216423b803","Section of Legal Medicine - Forensic Toxicology, Antidoping Unit, Department of Environmental Medicine and Public Health, Via Falloppio 50, 35121 Padova, Italy","Viel, G., Section of Legal Medicine - Forensic Toxicology, Antidoping Unit, Department of Environmental Medicine and Public Health, Via Falloppio 50, 35121 Padova, Italy; Nalesso, A., Section of Legal Medicine - Forensic Toxicology, Antidoping Unit, Department of Environmental Medicine and Public Health, Via Falloppio 50, 35121 Padova, Italy; Cecchetto, G., Section of Legal Medicine - Forensic Toxicology, Antidoping Unit, Department of Environmental Medicine and Public Health, Via Falloppio 50, 35121 Padova, Italy; Montisci, M., Section of Legal Medicine - Forensic Toxicology, Antidoping Unit, Department of Environmental Medicine and Public Health, Via Falloppio 50, 35121 Padova, Italy; Ferrara, S.D., Section of Legal Medicine - Forensic Toxicology, Antidoping Unit, Department of Environmental Medicine and Public Health, Via Falloppio 50, 35121 Padova, Italy","Benzoylecgonine; Cocaine; Fixation process; Forensic toxicology; Formalin","benzoylecgonine; cocaine; formaldehyde; xenobiotic agent; article; brain tissue; chemical reaction kinetics; controlled study; drug stability; extraction; forensic science; half life time; human; human tissue; hydrolysis; lipophilicity; liver; pH; posthumous care; priority journal; quantitative analysis; tissue fixation; Adult; Brain Chemistry; Cocaine; Dopamine Uptake Inhibitors; Drug Stability; Embalming; Fixatives; Forensic Toxicology; Formaldehyde; Gas Chromatography-Mass Spectrometry; Humans; Liver; Male","Ferrara, S.D.; Section of Legal Medicine - Forensic Toxicology, Via Falloppio 50, 35121 Padova, Italy; email: santodavide.ferrara@unipd.it",Article,"Final","",Scopus,2-s2.0-70449632280
"Caniato R.N., Gundabawady A., Baune B.T., Alvarenga M.E.","15057743900;35336805500;6603807336;7004181550;","Malingered psychotic symptoms and quetiapine abuse in a forensic setting",2009,"Journal of Forensic Psychiatry and Psychology","20","6",,"928","935",,7,"10.1080/14789940903174196","https://www.scopus.com/inward/record.uri?eid=2-s2.0-71549159181&doi=10.1080%2f14789940903174196&partnerID=40&md5=cfed523be921c94fcb4c0b7768112c5f","Secure and Forensic Mental Health Services, Townsville Hospital, Townsville, Australia; Department of Psychiatry, James Cook University, Townsville, Australia; Baker Heart Research, Department of Physiology, Monash University, Melbourne, Australia","Caniato, R.N., Secure and Forensic Mental Health Services, Townsville Hospital, Townsville, Australia; Gundabawady, A., Secure and Forensic Mental Health Services, Townsville Hospital, Townsville, Australia; Baune, B.T., Department of Psychiatry, James Cook University, Townsville, Australia; Alvarenga, M.E., Baker Heart Research, Department of Physiology, Monash University, Melbourne, Australia","Forensic psychiatry; Malingering; Psychotic symptoms; Specialist substance misuse training","antihistaminic agent; olanzapine; quetiapine; risperidone; adult; agitation; anxiety; appetite disorder; article; auditory hallucination; case report; drug abuse; drug dose titration; human; insomnia; male; malingering; persecutory delusion; priority journal; prisoner; psychosis; restlessness; schizophrenia; sleep disorder; tachycardia; withdrawal syndrome","Caniato, R. N.; Secure and Forensic Mental Health Services, , Townsville, Australia; email: riccardocaniato@yahoo.com",Article,"Final","",Scopus,2-s2.0-71549159181
"Martin A.N., Farquar G.R., Steele P.T., Jones A.D., Frank M.","16029072800;6507986807;7101983746;7407105218;7402460273;","Use of single particle aerosol mass spectrometry for the automated nondestructive identification of drugs in multicomponent samples",2009,"Analytical Chemistry","81","22",,"9336","9342",,5,"10.1021/ac901208h","https://www.scopus.com/inward/record.uri?eid=2-s2.0-70649103113&doi=10.1021%2fac901208h&partnerID=40&md5=33b032bd3b1c823ffda38a9ab1dec0d1","Lawrence Livermore National Laboratory, 7000 East Ave., Livermore, CA 94550, United States; Departments of Biochemistry and Molecular Biology and Chemistry, Michigan State University, East Lansing, MI 48824, United States","Martin, A.N., Lawrence Livermore National Laboratory, 7000 East Ave., Livermore, CA 94550, United States, Departments of Biochemistry and Molecular Biology and Chemistry, Michigan State University, East Lansing, MI 48824, United States; Farquar, G.R., Lawrence Livermore National Laboratory, 7000 East Ave., Livermore, CA 94550, United States; Steele, P.T., Lawrence Livermore National Laboratory, 7000 East Ave., Livermore, CA 94550, United States; Jones, A.D., Departments of Biochemistry and Molecular Biology and Chemistry, Michigan State University, East Lansing, MI 48824, United States; Frank, M., Lawrence Livermore National Laboratory, 7000 East Ave., Livermore, CA 94550, United States",,"Active drugs; Active Ingredients; Aerosol mass spectrometry; Automated identification; Drug compounds; Fragment ions; In-situ measurement; Individual particles; Mass spectra; Micrometer sized particles; Minimal damage; Multicomponents; Non destructive; Nondestructive identification; Over-the-counter drugs; Parent ions; Pharmaceutical analysis; Single particle; Atmospheric aerosols; Mass spectrometers; Mass spectrometry; Spamming; acetylsalicylic acid; chloroquine; dextromethorphan; guaifenesin; ibuprofen; loratadine; non prescription drug; paracetamol; phenylephrine; pseudoephedrine; algorithm; analytic method; article; automation; color; drug formulation; mass spectrometry; particle size; single particle aerosol mass spectrometry; tablet; Chemistry Techniques, Analytical; Mass Spectrometry; Nonprescription Drugs; Tablets","Farquar, G. R.; Lawrence Livermore National Laboratory, 7000 East Ave., Livermore, CA 94550, United States; email: gfarquar@llnl.gov",Article,"Final","",Scopus,2-s2.0-70649103113
