Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Author Keywords,Index Keywords,Correspondence Address,Document Type,Publication Stage,Open Access,Source,EID,Active Webpage,Report,SubEvidence,Evidence
"Bakouri E., Tsitsimpikou C., Tzifa R., Potamianos S., Tarli A., Vakka C., Pantilieri E.",,The general chemical state laboratory of Greece and its role in forensic drug analysis,2008,TOXICOLOGY LETTERS,180,,,S156,S157,,,10.1016/j.toxlet.2008.06.301,https://www.sciencedirect.com/science/article/pii/S0378427408007200?via%3Dihub,"General Chemical State Laboratory, Athens, Greece","Bakouri E., General Chemical State Laboratory, Athens, Greece; Tsitsimpikou C., General Chemical State Laboratory, Athens, Greece; Tzifa R., General Chemical State Laboratory, Athens, Greece; Potamianos S., General Chemical State Laboratory, Athens, Greece; Tarli A., General Chemical State Laboratory, Athens, Greece; Vakka C., General Chemical State Laboratory, Athens, Greece; Pantilieri E., General Chemical State Laboratory, Athens, Greece",,,,,,,,,,IFSMS 2010,Drugs,Drugs
Bell S.,55423348700;,Forensic chemistry,2009,Annual Review of Analytical Chemistry,2,,,297,319,,35,10.1146/annurev-anchem-060908-155251,https://www.scopus.com/inward/record.uri?eid=2-s2.0-70349783424&doi=10.1146%2fannurev-anchem-060908-155251&partnerID=40&md5=27228c5c990a591c69ae9c980edfc9e2,"Bennett Department of Chemistry and Forensic and Investigative Sciences, West Virginia University, Morgantown, West Virginia 26506-6121, United States","Bell, S., Bennett Department of Chemistry and Forensic and Investigative Sciences, West Virginia University, Morgantown, West Virginia 26506-6121, United States",Latent fingerprints; Mass spectrometry; Metrology; Seized-drug analysis; Toxicology,"article; chemical analysis; forensic medicine; human; instrumentation; legal aspect; mass spectrometry; methodology; chemical analysis; devices; forensic medicine; legislation and jurisprudence; procedures; trends; Chemistry Techniques, Analytical; Forensic Medicine; Humans; Mass Spectrometry; Chemistry Techniques, Analytical; Forensic Medicine; Humans; Mass Spectrometry","Bell, S.; Bennett Department of Chemistry and Forensic and Investigative Sciences, , Morgantown, West Virginia 26506-6121, United States; email: Suzanne.Bell@mail.wvu.edu",Article,Final,,Scopus,2-s2.0-70349783424,,IFSMS 2010,Drugs,Drugs
"Berbatis C.G., Sunderland V.B., Dhaliwal S.S.",7003274453;6701681021;7004476215;,Linked electronic medication systems in community pharmacies for preventing pseudoephedrine diversion: A review of international practice and analysis of results in Australia,2009,Drug and Alcohol Review,28,6,NA,586,591,NA,6,10.1111/j.1465-3362.2009.00051.x,https://www.scopus.com/inward/record.uri?eid=2-s2.0-77049111614&doi=10.1111%2fj.1465-3362.2009.00051.x&partnerID=40&md5=9b8f153fcac2614ac3e2e470bcc506ba,"School of Pharmacy, Curtin University of Technology (Western Australia), Perth, Australia; School of Public Health, Curtin University of Technology, Perth, Australia","Berbatis, C.G., School of Pharmacy, Curtin University of Technology (Western Australia), Perth, Australia; Sunderland, V.B., School of Pharmacy, Curtin University of Technology (Western Australia), Perth, Australia; Dhaliwal, S.S., School of Public Health, Curtin University of Technology, Perth, Australia",Drug diversion; Linked medication system; Methamphetamine; Non-prescription drug; Pseudoephedrine,pseudoephedrine; Australia; drug abuse; electronic prescribing; human; international cooperation; legal aspect; medical record; pharmacy; review; standard; Amphetamine-Related Disorders; Australia; Community Pharmacy Services; Electronic Health Records; Electronic Prescribing; Humans; Internationality; Pseudoephedrine,"Berbatis, C.G.; School of Pharmacy, GPO Box U1987, Perth, WA 6845, Australia; email: berbatis@git.com.au",Article,Final,NA,Scopus,2-s2.0-77049111614,,IFSMS 2010,Drugs,Drugs
"Bjornsdottir I., Almarsdottir A.B., Traulsen J.M.",7003609930;6701329670;6701629486;,The lay public's explicit and implicit definitions of drugs,2009,Research in Social and Administrative Pharmacy,5,1,NA,40,50,NA,13,10.1016/j.sapharm.2008.04.003,https://www.scopus.com/inward/record.uri?eid=2-s2.0-61649085696&doi=10.1016%2fj.sapharm.2008.04.003&partnerID=40&md5=f6c3b8d38e71cfe0a08f7f538f97a1e4,"University of Copenhagen, Faculty of Pharmaceutical Sciences, Department of Pharmacology and Pharmacotherapy, Universitetsparken 2, DK 2100 Copenhagen Ã˜, Denmark; University of Iceland, Faculty of Pharmacy, Hagi Hofsvallagata 53, 107 ReykjavÃ­k, Iceland","BjÃ¶rnsdÃ³ttir, I., University of Copenhagen, Faculty of Pharmaceutical Sciences, Department of Pharmacology and Pharmacotherapy, Universitetsparken 2, DK 2100 Copenhagen Ã˜, Denmark; AlmarsdÃ³ttir, A.B., University of Iceland, Faculty of Pharmacy, Hagi Hofsvallagata 53, 107 ReykjavÃ­k, Iceland; Traulsen, J.M., University of Copenhagen, Faculty of Pharmaceutical Sciences, Department of Pharmacology and Pharmacotherapy, Universitetsparken 2, DK 2100 Copenhagen Ã˜, Denmark",Definition; Drugs; Focus group discussions; Iceland; Medicines,"drug; non prescription drug; prescription drug; street drug; adolescent; adult; aged; article; attitude; attitude to health; diet supplementation; drug therapy; female; human; Iceland; male; middle aged; nomenclature; rural population; urban population; Adolescent; Adult; Aged; Aged, 80 and over; Attitude; Dietary Supplements; Drug Therapy; Female; Health Knowledge, Attitudes, Practice; Humans; Iceland; Male; Middle Aged; Nonprescription Drugs; Pharmaceutical Preparations; Prescription Drugs; Rural Population; Street Drugs; Terminology as Topic; Urban Population; Young Adult","BjÃ¶rnsdÃ³ttir, I.; University of Copenhagen, Universitetsparken 2, DK 2100 Copenhagen Ã˜, Denmark; email: ingunn.bjornsdottir@bifrost.is",Article,Final,NA,Scopus,2-s2.0-61649085696,,IFSMS 2010,Drugs,Drugs
"Bornmann L., Nast I., Daniel H.-D.",8850037200;57415368000;9746425500;,Do editors and referees look for signs of scientific misconduct when reviewing manuscripts? A quantitative content analysis of studies that examined review criteria and reasons for accepting and rejecting manuscripts for publication,2008,Scientometrics,77,3,NA,415,432,NA,38,10.1007/s11192-007-1950-2,https://www.scopus.com/inward/record.uri?eid=2-s2.0-56749183653&doi=10.1007%2fs11192-007-1950-2&partnerID=40&md5=0b373c39174f3e821856f4c6ea14033c,"ETH Zurich, Zurich, Switzerland; ETH Zurich, ZÃ¤hringerstr. 24, CH-8092 Zurich, Switzerland","Bornmann, L., ETH Zurich, Zurich, Switzerland, ETH Zurich, ZÃ¤hringerstr. 24, CH-8092 Zurich, Switzerland; Nast, I., ETH Zurich, Zurich, Switzerland; Daniel, H.-D., ETH Zurich, Zurich, Switzerland",NA,NA,"Bornmann, L.; ETH Zurich, ZÃ¤hringerstr. 24, CH-8092 Zurich, Switzerland; email: bornmann@gess.ethz.ch",Article,Final,"All Open Access, Green",Scopus,2-s2.0-56749183653,,IFSMS 2010,Drugs,Drugs
"Brettell T.A., Butler J.M., Almirall J.R.",6604035747;7403925483;7004960911;,Forensic science,2009,Analytical Chemistry,81,12,NA,4695,4711,NA,20,10.1021/ac9008786,https://www.scopus.com/inward/record.uri?eid=2-s2.0-67249090786&doi=10.1021%2fac9008786&partnerID=40&md5=89bb69ed164f1194b1e4017dc21907a5,"Department of Chemical and Physical Sciences, Cedar Crest College, 100 College Drive, Allentown, PA 18104-6196, United States; Biochemical Science Division, National Institute of Standards and Technology, Gaithersburg, MD 20899-8312, United States; Department of Chemistry and Biochemistry, International Forensic Research Institute, Florida International University, Miami, FL 33199, United States","Brettell, T.A., Department of Chemical and Physical Sciences, Cedar Crest College, 100 College Drive, Allentown, PA 18104-6196, United States; Butler, J.M., Biochemical Science Division, National Institute of Standards and Technology, Gaithersburg, MD 20899-8312, United States; Almirall, J.R., Department of Chemistry and Biochemistry, International Forensic Research Institute, Florida International University, Miami, FL 33199, United States",NA,4 hydroxybutyric acid; alcohol; amphetamine derivative; benzodiazepine derivative; biomaterial; cannabinoid derivative; cocaine; explosive; glass; gunpowder; ink; mitochondrial DNA; morphine; narcotic agent; paint; petroleum; volatile agent; chromosome analysis; DNA determination; DNA extraction; DNA fingerprinting; fiber; finger dermatoglyphics; forensic genetics; forensic identification; forensic toxicology; hair; laboratory automation; polymerase chain reaction; review; short tandem repeat; single nucleotide polymorphism; X chromosome; Y chromosome; DNA Fingerprinting; Forensic Ballistics; Forensic Genetics; Forensic Medicine; Forensic Pathology; Forensic Sciences; Forensic Toxicology,"Brettell, T. A.; Department of Chemical and Physical Sciences, 100 College Drive, Allentown, PA 18104-6196, United States; email: tabrette@cedarcrest.edu",Review,Final,NA,Scopus,2-s2.0-67249090786,,IFSMS 2010,Drugs,Drugs
Caulkins J.P.,7004463460;,Price and purity analysis for illicit drug: Data and conceptual issues,2007,Drug and Alcohol Dependence,90,SUPPL. 1,NA,S61,S68,NA,75,10.1016/j.drugalcdep.2006.08.014,https://www.scopus.com/inward/record.uri?eid=2-s2.0-34249941026&doi=10.1016%2fj.drugalcdep.2006.08.014&partnerID=40&md5=6e75844e34dfbd46fae4872dc094db6b,"Carnegie Mellon University, Qatar Campus and Heinz School Public Policy, P.O. Box 24866, Doha, Qatar","Caulkins, J.P., Carnegie Mellon University, Qatar Campus and Heinz School Public Policy, P.O. Box 24866, Doha, Qatar",Drug policy; Economic analysis; Illicit markets,illicit drug; article; drug control; drug program; economic evaluation; human; law enforcement; marketing; medical research; priority journal; self report; substance abuse; Cross-Cultural Comparison; Drug Costs; Humans; Marketing; Street Drugs; Substance-Related Disorders; United States,"Caulkins, J.P.; Carnegie Mellon University, P.O. Box 24866, Doha, Qatar; email: caulkins@cmu.edu",Article,Final,"All Open Access, Green",Scopus,2-s2.0-34249941026,,IFSMS 2010,Drugs,Drugs
"Clark R.L., Johnston B.F., Mackay S.P., Breslin C.J., Robertson M.N., Sutcliffe O.B., Dufton M.J., Harvey A.L.",12767336800;9940195300;7102197995;35081706900;36459005300;55548662100;7004032597;7402410149;,The drug discovery portal: A computational platform for identifying drug leads from academia,2010,Current Pharmaceutical Design,16,15,NA,1697,1702,NA,3,10.2174/138161210791164018,https://www.scopus.com/inward/record.uri?eid=2-s2.0-78049509459&doi=10.2174%2f138161210791164018&partnerID=40&md5=19bc5ea4effa648d85f727b0bbc8efc9,"Strathclyde Institute of Pharmacy and Biomedical Sciences, University of Strathclyde, 27 Taylor Street, Glasgow, G4 0NR, United Kingdom; Research and Knowledge Exchange Services, University of Strathclyde, 50 George Street, Glasgow, G1 1QE, United Kingdom; Department of Pure and Applied Chemistry, University of Strathclyde, 295 Cathedral Street, Glasgow, G1 1XL, United Kingdom","Clark, R.L., Strathclyde Institute of Pharmacy and Biomedical Sciences, University of Strathclyde, 27 Taylor Street, Glasgow, G4 0NR, United Kingdom; Johnston, B.F., Strathclyde Institute of Pharmacy and Biomedical Sciences, University of Strathclyde, 27 Taylor Street, Glasgow, G4 0NR, United Kingdom; Mackay, S.P., Strathclyde Institute of Pharmacy and Biomedical Sciences, University of Strathclyde, 27 Taylor Street, Glasgow, G4 0NR, United Kingdom; Breslin, C.J., Research and Knowledge Exchange Services, University of Strathclyde, 50 George Street, Glasgow, G1 1QE, United Kingdom; Robertson, M.N., Strathclyde Institute of Pharmacy and Biomedical Sciences, University of Strathclyde, 27 Taylor Street, Glasgow, G4 0NR, United Kingdom; Sutcliffe, O.B., Strathclyde Institute of Pharmacy and Biomedical Sciences, University of Strathclyde, 27 Taylor Street, Glasgow, G4 0NR, United Kingdom; Dufton, M.J., Department of Pure and Applied Chemistry, University of Strathclyde, 295 Cathedral Street, Glasgow, G1 1XL, United Kingdom; Harvey, A.L., Strathclyde Institute of Pharmacy and Biomedical Sciences, University of Strathclyde, 27 Taylor Street, Glasgow, G4 0NR, United Kingdom",Academic drug discovery; Chemical diversity; Natural products; Virtual screening,"adenosine A2 receptor; adenosine receptor blocking agent; Janus kinase 2 inhibitor; opiate; allosterism; article; cytotoxicity; data base; drug identification; drug program; drug screening; human; library; molecular docking; patent; pharmacophore; priority journal; program development; scientific literature; United Kingdom; university; virtual reality; chemical structure; drug design; drug development; education; factual database; methodology; pharmaceutics; research; Databases, Factual; Drug Design; Drug Discovery; Molecular Structure; Research; Scotland; Technology, Pharmaceutical; Universities","Clark, R. L.; Strathclyde Institute of Pharmacy and Biomedical Sciences, 27 Taylor Street, Glasgow, G4 0NR, United Kingdom; email: simon.mackay@strath.ac.uk",Article,Final,NA,Scopus,2-s2.0-78049509459,,IFSMS 2010,Drugs,Drugs
Cody J.T.,57236987100;,Chapter 4 Hallucinogens,2008,Handbook of Analytical Separations,6,NA,NA,175,201,NA,1,10.1016/S1567-7192(06)06004-9,https://www.scopus.com/inward/record.uri?eid=2-s2.0-67649371242&doi=10.1016%2fS1567-7192%2806%2906004-9&partnerID=40&md5=5ec973cb5b1d465bc6d9ec18d9c14af4,"Air Force Drug Testing Laboratory, Brooks City-Base, 2730 Louis Bauer Drive, TX 78235-5132, United States","Cody, J.T., Air Force Drug Testing Laboratory, Brooks City-Base, 2730 Louis Bauer Drive, TX 78235-5132, United States",NA,NA,"Cody, J.T.; Air Force Drug Testing Laboratory, 2730 Louis Bauer Drive, TX 78235-5132, United States",Book Chapter,Final,NA,Scopus,2-s2.0-67649371242,,IFSMS 2010,Drugs,Drugs
"Daeid N.N., Buchanan H.A.S., Savage K.A., Fraser J.G., Cresswell S.L.",23066390300;24173028300;36163707900;25636754500;6701610773;,Recent advances in the application of stable isotope ratio analysis in forensic chemistry,2010,Australian Journal of Chemistry,63,1,NA,3,7,NA,21,10.1071/CH09414,https://www.scopus.com/inward/record.uri?eid=2-s2.0-76849114700&doi=10.1071%2fCH09414&partnerID=40&md5=24c51d0249da510f45d1cd015d506f00,"Centre for Forensic Science, Department of Pure and Applied Chemistry, University of Strathclyde, Glasgow G1 1XW, United Kingdom","Daeid, N.N., Centre for Forensic Science, Department of Pure and Applied Chemistry, University of Strathclyde, Glasgow G1 1XW, United Kingdom; Buchanan, H.A.S., Centre for Forensic Science, Department of Pure and Applied Chemistry, University of Strathclyde, Glasgow G1 1XW, United Kingdom; Savage, K.A., Centre for Forensic Science, Department of Pure and Applied Chemistry, University of Strathclyde, Glasgow G1 1XW, United Kingdom; Fraser, J.G., Centre for Forensic Science, Department of Pure and Applied Chemistry, University of Strathclyde, Glasgow G1 1XW, United Kingdom; Cresswell, S.L., Centre for Forensic Science, Department of Pure and Applied Chemistry, University of Strathclyde, Glasgow G1 1XW, United Kingdom",NA,Explosive materials; Forensic science; Isotope ratio mass spectrometry; Stable isotopes; Mass spectrometry; Isotopes,"Daeid, N. N.; Centre for Forensic Science, , Glasgow G1 1XW, United Kingdom; email: n.nicdaeid@strath.ac.uk",Review,Final,"All Open Access, Green",Scopus,2-s2.0-76849114700,,IFSMS 2010,Drugs,Drugs
