Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Author Keywords,Index Keywords,Correspondence Address,Document Type,Publication Stage,Open Access,Source,EID,Active Webpage,Report,SubEvidence,Evidence
"Andre C.M., Hausman J.-F., Guerriero G.",16177483800;7006286375;25925874100;,Cannabis sativa: The plant of the thousand and one molecules,2016,Frontiers in Plant Science,7,Feb-16,19,,,,501,10.3389/fpls.2016.00019,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84958553562&doi=10.3389%2ffpls.2016.00019&partnerID=40&md5=c835679851ad2206579a1433db7baea5,"Environmental Research and Innovation, Luxembourg Institute of Science and Technology, Esch-sur-Alzette, Luxembourg","Andre, C.M., Environmental Research and Innovation, Luxembourg Institute of Science and Technology, Esch-sur-Alzette, Luxembourg; Hausman, J.-F., Environmental Research and Innovation, Luxembourg Institute of Science and Technology, Esch-sur-Alzette, Luxembourg; Guerriero, G., Environmental Research and Innovation, Luxembourg Institute of Science and Technology, Esch-sur-Alzette, Luxembourg",Cannabinoids; Cannabis; Cellulose; Fibers; Hemp; Lignans; Lignin; Terpenes,,"Andre, C.M.; Environmental Research and Innovation, Luxembourg; email: christelle.andre@list.lu",Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-84958553562,,IFSMS 2019,Drugs,Drugs
"Armenian P., Vo K.T., Barr-Walker J., Lynch K.L.",36995830500;57192656850;55749038600;36129726500;,"Fentanyl, fentanyl analogs and novel synthetic opioids: A comprehensive review",2018,Neuropharmacology,134,,,121,132,,254,10.1016/j.neuropharm.2017.10.016,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85031905244&doi=10.1016%2fj.neuropharm.2017.10.016&partnerID=40&md5=eb7cf47ee801c209508f972d528dfd8c,"Department of Emergency Medicine, University of California, San Francisco-Fresno, 155 N Fresno St., Fresno, CA  93701, United States; Department of Emergency Medicine, University of California San Francisco, California Poison Control System, San Francisco Division, UCSF Box 1369, San Francisco, CA  94143-1369, United States; University of California, San Francisco, 1001 Potrero Avenue, Library, San Francisco, CA  94110, United States; Department of Laboratory Medicine, University of California, San Francisco, 1001 Potrero Avenue, Clinical Chemistry, San Francisco, CA  94110, United States","Armenian, P., Department of Emergency Medicine, University of California, San Francisco-Fresno, 155 N Fresno St., Fresno, CA  93701, United States; Vo, K.T., Department of Emergency Medicine, University of California San Francisco, California Poison Control System, San Francisco Division, UCSF Box 1369, San Francisco, CA  94143-1369, United States; Barr-Walker, J., University of California, San Francisco, 1001 Potrero Avenue, Library, San Francisco, CA  94110, United States; Lynch, K.L., Department of Laboratory Medicine, University of California, San Francisco, 1001 Potrero Avenue, Clinical Chemistry, San Francisco, CA  94110, United States",Carfentanil; Fentanyl; Fentanyl analog; Naloxone; Opioid; Synthetic opioids,"3 methylthiofentanyl; 4 fluoroisobutyryl fentanyl; acetyl fentanyl; ah 7921; alfentanil; alpha methylthiofentanyl; analgesic agent; benzodiazepine; beta hydroxyfentanyl; beta hydroxymefentanyl; beta hydroxythiofentanyl; butyryl fentanyl; carfentanil; diamorphine; fentanyl; fentanyl derivative; furanyl fentanyl; illicit drug; mefentanyl; mt 45; mu opiate receptor; naloxone; opiate; para fluorofentanyl; remifentanil; sufentanil; thiafentanil; thiofentanyl; u 47700; unclassified drug; unindexed drug; designer drug; fentanyl; naloxone; narcotic analgesic agent; narcotic antagonist; analytic method; animal experiment; animal model; cause of death; central nervous system depression; controlled study; drug elimination; drug identification; drug marketing; drug metabolism; drug potency; drug transformation; gas chromatography; government; guinea pig; human; law enforcement; liquid chromatography; mass spectrometry; miosis; nonhuman; North American; patient care; pharmacist; physician; priority journal; public health; rat; receptor affinity; respiration depression; Review; tandem mass spectrometry; analogs and derivatives; animal; opiate addiction; Analgesics, Opioid; Animals; Chromatography, Liquid; Designer Drugs; Fentanyl; Humans; Naloxone; Narcotic Antagonists; Opioid-Related Disorders; Tandem Mass Spectrometry","Armenian, P.; Department of Emergency Medicine, 155 N Fresno St., United States; email: parmenian@fresno.ucsf.edu",Review,Final,"All Open Access, Green",Scopus,2-s2.0-85031905244,,IFSMS 2019,Drugs,Drugs
"Gladden R.M., Martinez P., Seth P.",56893611000;57190868013;56188032600;,"Fentanyl law enforcement submissions and increases in synthetic opioid-involved overdose deaths — 27 states, 2013-2014",2016,Morbidity and Mortality Weekly Report,65,33,,837,843,,247,10.15585/mmwr.mm6533a2,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84983593693&doi=10.15585%2fmmwr.mm6533a2&partnerID=40&md5=83e928caa2ba29522350d7f653d4bbe8,"Division of Unintentional Injury Prevention, National Center for Injury Prevention and Control, CDC, United States","Gladden, R.M., Division of Unintentional Injury Prevention, National Center for Injury Prevention and Control, CDC, United States; Martinez, P., Division of Unintentional Injury Prevention, National Center for Injury Prevention and Control, CDC, United States; Seth, P., Division of Unintentional Injury Prevention, National Center for Injury Prevention and Control, CDC, United States",,fentanyl; street drug; adolescent; adult; aged; drug overdose; epidemiology; female; human; law enforcement; legislation and jurisprudence; male; middle aged; mortality; opiate addiction; United States; young adult; Adolescent; Adult; Aged; Drug Overdose; Female; Fentanyl; Humans; Law Enforcement; Male; Middle Aged; Opioid-Related Disorders; Street Drugs; United States; Young Adult,"Gladden, R.M.; Division of Unintentional Injury Prevention, United States; email: mgladden@cdc.gov",Article,Final,"All Open Access, Bronze",Scopus,2-s2.0-84983593693,,IFSMS 2019,Drugs,Drugs
"Evoy K.E., Morrison M.D., Saklad S.R.",56050510400;57193153299;6602566587;,Abuse and Misuse of Pregabalin and Gabapentin,2017,Drugs,77,4,,403,426,,204,10.1007/s40265-017-0700-x,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85011275733&doi=10.1007%2fs40265-017-0700-x&partnerID=40&md5=1d0c7aa55a0cb6c506a9ffdc1c211edb,"College of Pharmacy, The University of Texas at Austin, 7703 Floyd Curl Dr., MC 6220, San Antonio, TX  78229-3900, United States; University Health System, 1055 Ada Street, San Antonio, TX  78223, United States","Evoy, K.E., College of Pharmacy, The University of Texas at Austin, 7703 Floyd Curl Dr., MC 6220, San Antonio, TX  78229-3900, United States, University Health System, 1055 Ada Street, San Antonio, TX  78223, United States; Morrison, M.D., College of Pharmacy, The University of Texas at Austin, 7703 Floyd Curl Dr., MC 6220, San Antonio, TX  78229-3900, United States; Saklad, S.R., College of Pharmacy, The University of Texas at Austin, 7703 Floyd Curl Dr., MC 6220, San Antonio, TX  78229-3900, United States",,gabapentin; pregabalin; 4 aminobutyric acid; amine; analgesic agent; cyclohexanecarboxylic acid derivative; gabapentin; pregabalin; case study; drug misuse; drug overdose; drug self administration; human; prevalence; Review; risk factor; substance abuse; systematic review; drug overdose; Substance-Related Disorders; Amines; Analgesics; Cyclohexanecarboxylic Acids; Drug Overdose; gamma-Aminobutyric Acid; Humans; Pregabalin; Substance-Related Disorders,"Evoy, K.E.; College of Pharmacy, 7703 Floyd Curl Dr., MC 6220, United States; email: evoy@uthscsa.edu",Review,Final,,Scopus,2-s2.0-85011275733,,IFSMS 2019,Drugs,Drugs
Ciccarone D.,6602102963;,Fentanyl in the US heroin supply: A rapidly changing risk environment,2017,International Journal of Drug Policy,46,,,107,111,,199,10.1016/j.drugpo.2017.06.010,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85025141170&doi=10.1016%2fj.drugpo.2017.06.010&partnerID=40&md5=37305903bab2b401d166ba4d02bd610b,"University of California San Francisco, Department of Family and Community Medicine, MU-3E, Box 900, 500 Parnassus Ave., San Francisco, CA  94143, United States","Ciccarone, D., University of California San Francisco, Department of Family and Community Medicine, MU-3E, Box 900, 500 Parnassus Ave., San Francisco, CA  94143, United States",,diamorphine; fentanyl; illicit drug; diamorphine; fentanyl; cause of death; drug overdose; drug potency; drug safety; drug surveillance program; drug traffic; Editorial; heroin dependence; human; information dissemination; mortality; practice guideline; priority journal; public health; risk reduction; standardization; United States; drug contamination; drug overdose; prevention and control; risk factor; statistics and numerical data; supply and distribution; Drug Contamination; Drug Overdose; Fentanyl; Heroin; Humans; Risk Factors; United States,"Ciccarone, D.; University of California San Francisco, MU-3E, Box 900, 500 Parnassus Ave., United States; email: ciccaron@fcm.ucsf.edu",Editorial,Final,"All Open Access, Green",Scopus,2-s2.0-85025141170,,IFSMS 2019,Drugs,Drugs
"McCall A.-K., Bade R., Kinyua J., Lai F.Y., Thai P.K., Covaci A., Bijlsma L., van Nuijs A.L.N., Ort C.",57194825481;37036806400;55185014400;57200819953;57197775331;7007134174;14036891200;57205552039;57218868688;,Critical review on the stability of illicit drugs in sewers and wastewater samples,2016,Water Research,88,,,933,947,,181,10.1016/j.watres.2015.10.040,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84962738413&doi=10.1016%2fj.watres.2015.10.040&partnerID=40&md5=d5af0e1fa012a20203b72d45075ba1e9,"Eawag, Swiss Federal Institute of Aquatic Science and Technology, Dübendorf, CH 8600, Switzerland; Research Institute for Pesticides and Water, University Jaume I, Avda. Sos Baynat, Castellón, E-12071, Spain; Toxicological Centre, Department of Pharmaceutical Sciences, University of Antwerp (UA), Universiteitsplein 1, Antwerp, 2610, Belgium; The University of Queensland, The National Research Centre for Environmental Toxicology (Entox), 39 Kessels Rd., Coopers Plains, Brisbane, QLD  4108, Australia; Queensland University of Technology, International Laboratory for Air Quality and Health, 2 George Street, Brisbane, QLD  4001, Australia","McCall, A.-K., Eawag, Swiss Federal Institute of Aquatic Science and Technology, Dübendorf, CH 8600, Switzerland; Bade, R., Research Institute for Pesticides and Water, University Jaume I, Avda. Sos Baynat, Castellón, E-12071, Spain; Kinyua, J., Toxicological Centre, Department of Pharmaceutical Sciences, University of Antwerp (UA), Universiteitsplein 1, Antwerp, 2610, Belgium; Lai, F.Y., The University of Queensland, The National Research Centre for Environmental Toxicology (Entox), 39 Kessels Rd., Coopers Plains, Brisbane, QLD  4108, Australia; Thai, P.K., The University of Queensland, The National Research Centre for Environmental Toxicology (Entox), 39 Kessels Rd., Coopers Plains, Brisbane, QLD  4108, Australia, Queensland University of Technology, International Laboratory for Air Quality and Health, 2 George Street, Brisbane, QLD  4001, Australia; Covaci, A., Toxicological Centre, Department of Pharmaceutical Sciences, University of Antwerp (UA), Universiteitsplein 1, Antwerp, 2610, Belgium; Bijlsma, L., Research Institute for Pesticides and Water, University Jaume I, Avda. Sos Baynat, Castellón, E-12071, Spain; van Nuijs, A.L.N., Toxicological Centre, Department of Pharmaceutical Sciences, University of Antwerp (UA), Universiteitsplein 1, Antwerp, 2610, Belgium; Ort, C., Eawag, Swiss Federal Institute of Aquatic Science and Technology, Dübendorf, CH 8600, Switzerland",Biodegradation; Psychoactive substances; Sample preservation; Sewage epidemiology; Transformation,"Biodegradation; Chemical analysis; Drug products; Sewage; Sewers; Chemical and biologicals; Effective approaches; Psychoactive substances; Sample preservation; Sewage epidemiologies; Transformation; Transformation process; Wastewater composition; Stability; 3,4 methylenedioxymethamphetamine; amphetamine; biological marker; cannabinoid; cocaine; illicit drug; methamphetamine; morphine; opiate; sewage; street drug; waste water; water pollutant; biodegradation; bioreactor; drug; epidemiology; experimental study; preservation; sewer network; transformation; wastewater; chemical composition; drug stability; environmental factor; experimental design; metabolite; monitoring; physical phenomena; preservation; priority journal; reproducibility; Review; sewer; storage; waste water; waste water management; water sampling; analysis; environmental monitoring; procedures; sewage; waste water; water pollutant; Environmental Monitoring; Sewage; Street Drugs; Waste Water; Water Pollutants, Chemical","Ort, C.; Eawag, Switzerland; email: Christoph.Ort@eawag.ch",Review,Final,"All Open Access, Green",Scopus,2-s2.0-84962738413,,IFSMS 2019,Drugs,Drugs
"Bonini S.A., Premoli M., Tambaro S., Kumar A., Maccarinelli G., Memo M., Mastinu A.",16041296500;57189686237;6507229526;57221101999;6506779823;7006172748;18434773500;,Cannabis sativa: A comprehensive ethnopharmacological review of a medicinal plant with a long history,2018,Journal of Ethnopharmacology,227,,,300,315,,179,10.1016/j.jep.2018.09.004,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85053437167&doi=10.1016%2fj.jep.2018.09.004&partnerID=40&md5=174d5476beb81184cc82b4a6dd125bed,"Department of Molecular and Translational Medicine, Division of Pharmacology, University of Brescia, Brescia, Italy; Department of Neurobiology, Care Sciences and Society, Center for Alzheimer Research, Division of Neurogeriatrics, Karolinska Institutet, Huddinge, Sweden; Department of Neurobiology, Care Sciences and Society, Center for Alzheimer Research, Division of Clinical Geriatrics, Karolinska Institutet, Huddinge, Sweden","Bonini, S.A., Department of Molecular and Translational Medicine, Division of Pharmacology, University of Brescia, Brescia, Italy; Premoli, M., Department of Molecular and Translational Medicine, Division of Pharmacology, University of Brescia, Brescia, Italy; Tambaro, S., Department of Neurobiology, Care Sciences and Society, Center for Alzheimer Research, Division of Neurogeriatrics, Karolinska Institutet, Huddinge, Sweden; Kumar, A., Department of Neurobiology, Care Sciences and Society, Center for Alzheimer Research, Division of Clinical Geriatrics, Karolinska Institutet, Huddinge, Sweden; Maccarinelli, G., Department of Molecular and Translational Medicine, Division of Pharmacology, University of Brescia, Brescia, Italy; Memo, M., Department of Molecular and Translational Medicine, Division of Pharmacology, University of Brescia, Brescia, Italy; Mastinu, A., Department of Molecular and Translational Medicine, Division of Pharmacology, University of Brescia, Brescia, Italy",Cannabis sativa L.; Endocannabinoids; Ethnobotany; Phytocannabinoids; Terpenoids,"cannabichromene; cannabicyclol; cannabidiol; cannabigerol; cannabinoid; cannabinol; caryophyllene; caryophyllene oxide; delta 9 tetrahydrocannabivarin; herbaceous agent; limonene; linalool; myrcene; phytochemical; phytol; pinene; tetrahydrocannabinol; unclassified drug; cannabis; phytochemical; terpene; Alzheimer disease; anorexia; Antiquity; anxiety; biology; Cannabis sativa; colitis; drug research; epilepsy; ethnobotany; ethnology; ethnopharmacology; evaluation study; Gilles de la Tourette syndrome; herbal medicine; historical research; history; human; nausea and vomiting; nonhuman; pain; phytochemistry; phytogeography; plant physiology; Review; sleep disorder; spasticity; animal; ethnopharmacology; medicinal plant; Animals; Cannabis; Ethnopharmacology; History, 15th Century; History, 18th Century; History, 19th Century; History, 20th Century; History, Ancient; History, Medieval; Humans; Phytochemicals; Plants, Medicinal; Terpenes","Mastinu, A.; Department of Molecular and Translational Medicine, Italy; email: andrea.mastinu@unibs.it",Review,Final,,Scopus,2-s2.0-85053437167,,IFSMS 2019,Drugs,Drugs
"O’Donnell J.K., Matthew Gladden R., Seth P.",57194643291;56893611000;56188032600;,"Trends in deaths involving heroin and synthetic opioids excluding methadone, and law enforcement drug product reports, by Census Region - United States, 2006-2015",2017,Morbidity and Mortality Weekly Report,66,34,,897,903,,170,10.15585/mmwr.mm6634a2,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85029148074&doi=10.15585%2fmmwr.mm6634a2&partnerID=40&md5=db89d5da7676396bf6b3123101b556a4,"Division of Unintentional Injury Prevention, National Center for Injury Prevention and Control, CDC, United States","O’Donnell, J.K., Division of Unintentional Injury Prevention, National Center for Injury Prevention and Control, CDC, United States; Matthew Gladden, R., Division of Unintentional Injury Prevention, National Center for Injury Prevention and Control, CDC, United States; Seth, P., Division of Unintentional Injury Prevention, National Center for Injury Prevention and Control, CDC, United States",,"designer drug; diamorphine; fentanyl; narcotic analgesic agent; street drug; drug overdose; epidemiology; human; law enforcement; legislation and jurisprudence; mortality; population research; trends; United States; Analgesics, Opioid; Censuses; Designer Drugs; Drug Overdose; Fentanyl; Heroin; Humans; Law Enforcement; Mortality; Street Drugs; United States","O’Donnell, J.K.; Division of Unintentional Injury Prevention, United States; email: irh8@cdc.gov",Article,Final,"All Open Access, Bronze, Green",Scopus,2-s2.0-85029148074,,IFSMS 2019,Drugs,Drugs
"Hall W., Lynskey M.",7402629359;7004900664;,Evaluating the public health impacts of legalizing recreational cannabis use in the United States,2016,"Addiction (Abingdon, England)",111,10,,1764,1773,,158,10.1111/add.13428,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85027940705&doi=10.1111%2fadd.13428&partnerID=40&md5=9600b2740eebab66ece1a9fbc056864d,"Centre for Youth Substance Abuse Research, The University of Queensland, Herston, Queensland, Australia, Australia; National Addiction Centre, Institute of Psychiatry, Psychology and Neuroscience, Kings College London, Strand, London, WC2R 2LS, UK, United Kingdom","Hall, W., Centre for Youth Substance Abuse Research, The University of Queensland, Herston, Queensland, Australia, Australia, National Addiction Centre, Institute of Psychiatry, Psychology and Neuroscience, Kings College London, Strand, London, WC2R 2LS, UK, United Kingdom; Lynskey, M., National Addiction Centre, Institute of Psychiatry, Psychology and Neuroscience, Kings College London, Strand, London, WC2R 2LS, UK, United Kingdom",Colorado; legalization; marijuana; medical marijuana laws; non-medical use; prospective monitoring; regulation; Washington State,"medical cannabis; street drug; adolescent; adult; cannabis addiction; cannabis smoking; complication; cost; drug legislation; economics; female; human; legislation and jurisprudence; male; patient attitude; psychology; public health; public policy; recreation; tax; United States; young adult; Adolescent; Adult; Costs and Cost Analysis; Female; Humans; Legislation, Drug; Male; Marijuana Abuse; Marijuana Smoking; Medical Marijuana; Patient Acceptance of Health Care; Public Health; Public Policy; Recreation; Street Drugs; Taxes; United States; Young Adult",,Review,Final,,Scopus,2-s2.0-85027940705,,IFSMS 2019,Drugs,Drugs
"Smart R., Caulkins J.P., Kilmer B., Davenport S., Midgette G.",57194187912;7004463460;23392373200;55575678200;55562142100;,Variation in cannabis potency and prices in a newly legal market: evidence from 30 million cannabis sales in Washington state,2017,Addiction,112,12,,2167,2177,,155,10.1111/add.13886,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85021845669&doi=10.1111%2fadd.13886&partnerID=40&md5=3aaf270e41d8e8c8fb01e58779cde39b,"RAND Corporation, Santa Monica, CA, United States; Heinz College, Carnegie Mellon University, Pittsburgh, PA, United States","Smart, R., RAND Corporation, Santa Monica, CA, United States; Caulkins, J.P., RAND Corporation, Santa Monica, CA, United States, Heinz College, Carnegie Mellon University, Pittsburgh, PA, United States; Kilmer, B., RAND Corporation, Santa Monica, CA, United States; Davenport, S., RAND Corporation, Santa Monica, CA, United States; Midgette, G., RAND Corporation, Santa Monica, CA, United States",Cannabis; drug policy; hedonic models; legalization; potency; prices,"cannabis; cannabis use; chemistry; commercial phenomena; drug legislation; economics; human; legislation and jurisprudence; statistics and numerical data; Washington; Cannabis; Commerce; Humans; Legislation, Drug; Marijuana Use; Washington","Smart, R.; RAND CorporationUnited States; email: rsmart@rand.org",Article,Final,"All Open Access, Green",Scopus,2-s2.0-85021845669,,IFSMS 2019,Drugs,Drugs
