Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Author Keywords,Index Keywords,Correspondence Address,Document Type,Publication Stage,Open Access,Source,EID,Active Webpage,Report,SubEvidence,Evidence
"Sarfaraz S., Readdy C.V.R., Shareef K.M.A.",56096249200;56373948000;57207682940;,"Method development, Validation and determination of Alprazolam in its pharmaceutical dosage by 2,3-dichloro 5,6-dicyano-1,4-benzoquinone",2014,Journal of Chemical and Pharmaceutical Research,6,9,NA,411,418,NA,2,NA,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84907532234&partnerID=40&md5=6db752b3fdaee88a8559bdb74eddbdd6,"Department of Chemistry, JNT University Hyderabad (CEH), Kukatpally, Hyderabad, Telangana, India; Department of Chemistry, M.J College of Engineering and Technology, Hyderabad, Telangana, India","Sarfaraz, S., Department of Chemistry, JNT University Hyderabad (CEH), Kukatpally, Hyderabad, Telangana, India; Readdy, C.V.R., Department of Chemistry, JNT University Hyderabad (CEH), Kukatpally, Hyderabad, Telangana, India; Shareef, K.M.A., Department of Chemistry, M.J College of Engineering and Technology, Hyderabad, Telangana, India",Alprazolam; DDQ; HPLC; NMR; Spectrophotometry; Validation,"Spectrophotometry; Alprazolam; DDQ; HPLC; Method development; Pharmaceutical dosage; Validation; Nuclear magnetic resonance; 2,3 dichloro 5,6 dicyano 1,4 benzoquinone; alprazolam; reagent; unclassified drug; Article; drug determination; high performance liquid chromatography; limit of detection; limit of quantitation; linearity; measurement accuracy; measurement precision; measurement repeatability; parameters; proton nuclear magnetic resonance; robustness; ruggedness; sensitivity and specificity; spectrophotometer; spectrophotometry; tablet; ultraviolet spectrophotometry; validation study","Sarfaraz, S.; Department of Chemistry JNT University Hyderabad (CEH)India",Article,Final,NA,Scopus,2-s2.0-84907532234,,IFSMS 2016,Drugs,Drugs
"Nunes C.N., Pauluk L.E., Dos Anjos V.E., Lopes M.C., Quináia S.P.",57210373415;56664403200;12241754900;7202369081;6506808841;,New approach to the determination of contaminants of emerging concern in natural water: study of alprazolam employing adsorptive cathodic stripping voltammetry,2021,Analytical and Bioanalytical Chemistry,407,20,NA,NA,NA,9,18,10.1007/s00216-015-8792-1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84952826171&doi=10.1007%2fs00216-015-8792-1&partnerID=40&md5=389382fc1e5082a820697c2f23a5386f,"Departamento de Química, Universidade Estadual do Centro-Oeste (UNICENTRO), Guarapuava, Paraná  CEP 85040-080, Brazil; Departamento de Química, Universidade Estadual de Ponta Grossa (UEPG), Ponta Grossa, Paraná  CEP 84030-900, Brazil","Nunes, C.N., Departamento de Química, Universidade Estadual do Centro-Oeste (UNICENTRO), Guarapuava, Paraná  CEP 85040-080, Brazil; Pauluk, L.E., Departamento de Química, Universidade Estadual do Centro-Oeste (UNICENTRO), Guarapuava, Paraná  CEP 85040-080, Brazil; Dos Anjos, V.E., Departamento de Química, Universidade Estadual de Ponta Grossa (UEPG), Ponta Grossa, Paraná  CEP 84030-900, Brazil; Lopes, M.C., Departamento de Química, Universidade Estadual do Centro-Oeste (UNICENTRO), Guarapuava, Paraná  CEP 85040-080, Brazil; Quináia, S.P., Departamento de Química, Universidade Estadual do Centro-Oeste (UNICENTRO), Guarapuava, Paraná  CEP 85040-080, Brazil",Alprazolam; Benzodiazepine; Natural water; Validation; Voltammetry,"Contamination; Voltammetry; Adsorptive cathodic stripping voltammetries; Alprazolam; Benzodiazepine; Contaminants of emerging concerns; Environmental contaminant; Natural waters; Pharmaceutical and personal care products; Validation; Chromatography; alprazolam; anxiolytic agent; fresh water; water pollutant; adsorption; analysis; electrochemical analysis; electrode; environmental monitoring; limit of detection; procedures; validation study; water pollutant; Adsorption; Alprazolam; Anti-Anxiety Agents; Electrochemical Techniques; Electrodes; Environmental Monitoring; Fresh Water; Limit of Detection; Water Pollutants, Chemical","Nunes, C.N.; Departamento de Química, Brazil; email: chaldernunes@gmail.com",Article,Article in Press,NA,Scopus,2-s2.0-84952826171,,IFSMS 2016,Drugs,Drugs
"Frison G., Odoardi S., Frasson S., Sciarrone R., Ortar G., Romolo F.S., Strano Rossi S.",7004091499;55767887100;37101464600;23493390100;6701843332;6508292376;6602607015;,"Characterization of the designer drug bk-2C-B (2-amino-1-(bromo-dimethoxyphenyl)ethan-1-one) by gas chromatography/mass spectrometry without and with derivatization with 2,2,2-trichloroethyl chloroformate, liquid chromatography/high-resolution mass spectrometry, and nuclear magnetic resonance",2015,Rapid Communications in Mass Spectrometry,29,13,NA,1196,1206,NA,12,10.1002/rcm.7211,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84946112342&doi=10.1002%2frcm.7211&partnerID=40&md5=e3791bea205958e1759de34e317e7553,"Laboratory of Environmental Hygiene and Forensic Toxicology, Department of Prevention, ULSS 12, Azienda,Veneziana, Italy; Institute of Public Health, Section of Legal Medicine, Catholic University of Sacred Heart, Rome, Italy; Department of Drug Chemistry and Technologies, Sapienza - Università di Roma, Italy; Legal Medicine Section - SAPIENZA Università di Roma, Italy; Institut de Police Scientifique, Université de Lausanne, Lausanne, Switzerland","Frison, G., Laboratory of Environmental Hygiene and Forensic Toxicology, Department of Prevention, ULSS 12, Azienda,Veneziana, Italy; Odoardi, S., Institute of Public Health, Section of Legal Medicine, Catholic University of Sacred Heart, Rome, Italy; Frasson, S., Laboratory of Environmental Hygiene and Forensic Toxicology, Department of Prevention, ULSS 12, Azienda,Veneziana, Italy; Sciarrone, R., Laboratory of Environmental Hygiene and Forensic Toxicology, Department of Prevention, ULSS 12, Azienda,Veneziana, Italy; Ortar, G., Department of Drug Chemistry and Technologies, Sapienza - Università di Roma, Italy; Romolo, F.S., Legal Medicine Section - SAPIENZA Università di Roma, Italy, Institut de Police Scientifique, Université de Lausanne, Lausanne, Switzerland; Strano Rossi, S., Institute of Public Health, Section of Legal Medicine, Catholic University of Sacred Heart, Rome, Italy",NA,"2-amino-1-(4-bromo-2,5-dimethoxyphenyl)ethan-1-one; acetophenone derivative; bromine; designer drug; isotope; phosgene; tablet; trichloroethyl chloroformate; analogs and derivatives; analysis; chemistry; liquid chromatography; mass fragmentography; mass spectrometry; nuclear magnetic resonance spectroscopy; procedures; tablet; Acetophenones; Bromine; Chromatography, Liquid; Designer Drugs; Gas Chromatography-Mass Spectrometry; Isotopes; Magnetic Resonance Spectroscopy; Mass Spectrometry; Phosgene; Tablets","Strano Rossi, S.; Institute of Public Health, Italy",Article,Final,NA,Scopus,2-s2.0-84946112342,,IFSMS 2016,Drugs,Drugs
"Power J.D., Kavanagh P., O'Brien J., Barry M., Twamley B., Talbot B., Dowling G., Brandt S.D.",15731897000;57194867476;57074917200;7202017184;7004674968;55023608900;15844955700;7202305906;,"Test purchase, identification and synthesis of 2-amino-1-(4-bromo-2, 5-dimethoxyphenyl)ethan-1-one (bk-2C-B)",2015,Drug Testing and Analysis,7,6,NA,512,518,NA,10,10.1002/dta.1699,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84930274185&doi=10.1002%2fdta.1699&partnerID=40&md5=0b157ba615bf422a0a05a8937f281104,"Department of Pharmacology and Therapeutics, School of Medicine, Trinity Centre for Health Sciences, St James Hospital, Dublin 8, Ireland; Forensic Science Laboratory, Garda HQ, Dublin 8, Ireland; School of Chemistry, Trinity College, Dublin 2, Ireland; School of Pharmacy and Pharmaceutical Sciences, Trinity College, Dublin 2, Ireland; The State Laboratory, Backweston Lab Complex, Celbridge, Co, Kildare, Ireland; School of Pharmacy and Biomolecular Sciences, Liverpool John Moores University, Byrom Street, Liverpool, L3 3AF, United Kingdom","Power, J.D., Department of Pharmacology and Therapeutics, School of Medicine, Trinity Centre for Health Sciences, St James Hospital, Dublin 8, Ireland, Forensic Science Laboratory, Garda HQ, Dublin 8, Ireland; Kavanagh, P., Department of Pharmacology and Therapeutics, School of Medicine, Trinity Centre for Health Sciences, St James Hospital, Dublin 8, Ireland; O'Brien, J., School of Chemistry, Trinity College, Dublin 2, Ireland; Barry, M., Department of Pharmacology and Therapeutics, School of Medicine, Trinity Centre for Health Sciences, St James Hospital, Dublin 8, Ireland; Twamley, B., Department of Pharmacology and Therapeutics, School of Medicine, Trinity Centre for Health Sciences, St James Hospital, Dublin 8, Ireland, School of Chemistry, Trinity College, Dublin 2, Ireland; Talbot, B., School of Pharmacy and Pharmaceutical Sciences, Trinity College, Dublin 2, Ireland; Dowling, G., The State Laboratory, Backweston Lab Complex, Celbridge, Co, Kildare, Ireland; Brandt, S.D., School of Pharmacy and Biomolecular Sciences, Liverpool John Moores University, Byrom Street, Liverpool, L3 3AF, United Kingdom",2C-B; Beta keto-phenethylamines; Bk-2C-B; Cathinones; Forensic; New psychoactive substances; Synthesis,"1 (4 bromo 2,5 dimethoxyphenyl)ethanone; 2 amino 1 (4 bromo 2, 5 dimethoxyphenyl) ethan 1 one; psychotropic agent; pyrazine derivative; unclassified drug; 2-(4-bromo-2,5-dimethoxyphenyl)ethylamine; 2-amino-1-(4-bromo-2,5-dimethoxyphenyl)ethan-1-one; acetophenone derivative; designer drug; homoveratrylamine; Article; chemical analysis; chemical structure; gas chromatography; ion pair chromatography; liquid chromatography; mass spectrometry; nuclear magnetic resonance spectroscopy; priority journal; X ray crystallography; analogs and derivatives; electrospray mass spectrometry; mass fragmentography; procedures; substance abuse; synthesis; Acetophenones; Chromatography, Liquid; Crystallography, X-Ray; Designer Drugs; Dimethoxyphenylethylamine; Gas Chromatography-Mass Spectrometry; Magnetic Resonance Spectroscopy; Mass Spectrometry; Spectrometry, Mass, Electrospray Ionization; Substance Abuse Detection","Power, J.D.; Department of Pharmacology and Therapeutics, Ireland",Article,Final,NA,Scopus,2-s2.0-84930274185,,IFSMS 2016,Drugs,Drugs
"Katselou M., Papoutsis I., Nikolaou P., Spiliopoulou C., Athanaselis S.",46161344200;35264794100;24178282000;6602307763;6701876808;,5-(2-aminopropyl)indole: A new player in the drama of 'legal highs' alerts the community,2015,Drug and Alcohol Review,34,1,NA,51,57,NA,10,10.1111/dar.12136,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84921300776&doi=10.1111%2fdar.12136&partnerID=40&md5=15b0d6fd76e5952ae30519aa1d563770,"Department of Forensic Medicine and Toxicology, Faculty of Medicine, National and Kapodistrian University of Athens, Athens, Greece","Katselou, M., Department of Forensic Medicine and Toxicology, Faculty of Medicine, National and Kapodistrian University of Athens, Athens, Greece; Papoutsis, I., Department of Forensic Medicine and Toxicology, Faculty of Medicine, National and Kapodistrian University of Athens, Athens, Greece; Nikolaou, P., Department of Forensic Medicine and Toxicology, Faculty of Medicine, National and Kapodistrian University of Athens, Athens, Greece; Spiliopoulou, C., Department of Forensic Medicine and Toxicology, Faculty of Medicine, National and Kapodistrian University of Athens, Athens, Greece; Athanaselis, S., Department of Forensic Medicine and Toxicology, Faculty of Medicine, National and Kapodistrian University of Athens, Athens, Greece",5-(2-aminopropyl)indole; 5-IT; Legal high; Legislation; Toxicology,5-(2-aminopropyl)indole; indole derivative; psychotropic agent; street drug; animal; human; public health; Substance-Related Disorders; Animals; Humans; Indoles; Psychotropic Drugs; Public Health; Street Drugs; Substance-Related Disorders,"Nikolaou, P.; Department of Forensic Medicine and Toxicology, Faculty of Medicine, National and Kapodistrian University of Athens, 75 Mikras Asias, Greece",Review,Final,"All Open Access, Bronze",Scopus,2-s2.0-84921300776,,IFSMS 2016,Drugs,Drugs
"Power J.D., Barry M.G., Scott K.R., Kavanagh P.V.",15731897000;7202017184;23028541000;57194867476;,"An unusual presentation of a customs importation seizure containing amphetamine, possibly synthesized by the APAAN-P2P-leuckart route",2014,Forensic Science International,234,NA,NA,e10,e13,NA,9,10.1016/j.forsciint.2013.10.003,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84891331072&doi=10.1016%2fj.forsciint.2013.10.003&partnerID=40&md5=bc4b737a6c6e4d72b36896af7835f5b4,"Forensic Science Laboratory, Garda HQ, Dublin 8, Ireland; Department of Pharmacology and Therapeutics, School of Medicine, Trinity Centre for Health Sciences, St. James's Hospital, Dublin 8, Ireland","Power, J.D., Forensic Science Laboratory, Garda HQ, Dublin 8, Ireland, Department of Pharmacology and Therapeutics, School of Medicine, Trinity Centre for Health Sciences, St. James's Hospital, Dublin 8, Ireland; Barry, M.G., Department of Pharmacology and Therapeutics, School of Medicine, Trinity Centre for Health Sciences, St. James's Hospital, Dublin 8, Ireland; Scott, K.R., Department of Pharmacology and Therapeutics, School of Medicine, Trinity Centre for Health Sciences, St. James's Hospital, Dublin 8, Ireland; Kavanagh, P.V., Department of Pharmacology and Therapeutics, School of Medicine, Trinity Centre for Health Sciences, St. James's Hospital, Dublin 8, Ireland",NA,acetone; acetonitrile derivative; alpha phenylacetoacetonitrile; amphetamine; benzyl cyanide derivative; formetorex; methylphenylpyrimidine; naphthalene derivative; phenylacetone; pyrimidine derivative; unclassified drug; article; chemical analysis; chemical composition; chemical reaction; hydrolysis; Ireland; legal aspect; Leuckart reaction; priority journal; synthesis,"Power, J.D.; Department of Pharmacology and Therapeutics, , Dublin 8, Ireland; email: jdpower@fsl.gov.ie",Article,Final,NA,Scopus,2-s2.0-84891331072,,IFSMS 2016,Drugs,Drugs
"Power J.D., O'Brien J., Talbot B., Barry M., Kavanagh P.",15731897000;57074917200;55023608900;7202017184;57194867476;,"The identification of an impurity product, 4,6-dimethyl-3,5-diphenylpyridin-2-one in an amphetamine importation seizure, a potential route specific by-product for amphetamine synthesized by the APAAN to P2P, Leuckart route",2014,Forensic Science International,241,NA,NA,e13,e19,NA,13,10.1016/j.forsciint.2014.04.029,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84904293341&doi=10.1016%2fj.forsciint.2014.04.029&partnerID=40&md5=65e509fe82ddbc01c8b1bd90941c8767,"Forensic Science Laboratory, Garda HQ, Dublin 8, Ireland; Department of Pharmacology and Therapeutics, School of Medicine, Trinity Centre for Health Sciences, St. James Hospital, Dublin 8, Ireland; School of Chemistry, Trinity College, Dublin 2, Ireland; School of Pharmacy and Pharmaceutical Sciences, Trinity College, Dublin 2, Ireland","Power, J.D., Forensic Science Laboratory, Garda HQ, Dublin 8, Ireland, Department of Pharmacology and Therapeutics, School of Medicine, Trinity Centre for Health Sciences, St. James Hospital, Dublin 8, Ireland; O'Brien, J., School of Chemistry, Trinity College, Dublin 2, Ireland; Talbot, B., School of Pharmacy and Pharmaceutical Sciences, Trinity College, Dublin 2, Ireland; Barry, M., Department of Pharmacology and Therapeutics, School of Medicine, Trinity Centre for Health Sciences, St. James Hospital, Dublin 8, Ireland; Kavanagh, P., Department of Pharmacology and Therapeutics, School of Medicine, Trinity Centre for Health Sciences, St. James Hospital, Dublin 8, Ireland","Amphetamine; Drug impurity profile; Forensic; Leuckart; Route specific and 4,6-dimethyl-3,5-diphenylpyridin-2-one; Synthesis by-products","4,6 dimethyl 3,5 diphenylpyridin 2 one; acetone; acetonitrile derivative; alpha phenylacetoacetonitrile; amphetamine; benzyl cyanide derivative; dimer; formetorex; glass; methylphenylpyrimidine derivative; naphthalene derivative; phenylacetone; pyridone derivative; pyrimidine derivative; sulfuric acid; unclassified drug; article; chemical reaction; drug identification; drug impurity; drug legislation; drug traffic; experimental study; government regulation; hydrolysis; Leuckart reaction; physical chemistry; priority journal; synthesis","Power, J.D.; Forensic Science Laboratory, Drugs GHQ Team, Dublin, Ireland; email: jdpower@tcd.ie",Article,Final,NA,Scopus,2-s2.0-84904293341,,IFSMS 2016,Drugs,Drugs
"Mullerova L., Dubsky P., Ordogova M., Gas B.",55584501100;6603621821;56986588600;7005397095;,Determination of relative enantiomer migration order using a racemic sample,2015,Journal of Chromatography A,1424,NA,NA,139,143,NA,5,10.1016/j.chroma.2015.10.058,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84948753058&doi=10.1016%2fj.chroma.2015.10.058&partnerID=40&md5=5a5e7ed4b11572cf7317eadee5aa135b,"Charles University in Prague, Faculty of Science, Department of Physical and Macromolecular Chemistry, Prague, Czech Republic","Mullerova, L., Charles University in Prague, Faculty of Science, Department of Physical and Macromolecular Chemistry, Prague, Czech Republic; Dubsky, P., Charles University in Prague, Faculty of Science, Department of Physical and Macromolecular Chemistry, Prague, Czech Republic; Ordogova, M., Charles University in Prague, Faculty of Science, Department of Physical and Macromolecular Chemistry, Prague, Czech Republic; Gas, B., Charles University in Prague, Faculty of Science, Department of Physical and Macromolecular Chemistry, Prague, Czech Republic",Cyclodextrin; Dual selector system; Electromigration order; Model of electromigration; Racemate,"Cyclodextrins; Electromigration; Mixtures; Chiral compounds; Complexation constants; Dual selector system; Racemate; Enantiomers; (2 hydroxypropyl)beta cyclodextrin; cyclodextrin derivative; heptakis(2,3 di o acetyl 6 o sulfo)beta cyclodextrin; heptakis(2,3,6 tri o methyl)beta cyclodextrin; unclassified drug; 2-hydroxypropyl-beta-cyclodextrin; amphetamine; beta cyclodextrin derivative; cyclodextrin; heptakis(2,3-di-O-acetyl-6-O-sulfo)-beta-cyclodextrin; tri-O-methyl-beta-cyclodextrin; Article; capillary electrophoresis; complex formation; complexation constant; concentration (parameters); controlled study; enantiomer; enantiomer migration order; priority journal; racemic mixture; chemistry; procedures; stereoisomerism; Amphetamine; beta-Cyclodextrins; Cyclodextrins; Electrophoresis, Capillary; Stereoisomerism","Dubský, P.; Charles University in Prague, Albertov 2030, Czech Republic; email: pavel.dubsky@natur.cuni.cz",Article,Final,NA,Scopus,2-s2.0-84948753058,,IFSMS 2016,Drugs,Drugs
"Power J.D., Kavanagh P., McLaughlin G., Dowling G., Barry M., O'Brien J., Talbot B., Twamley B., Brandt S.D.",15731897000;57194867476;56262434400;15844955700;7202017184;57074917200;55023608900;7004674968;7202305906;,Forensic analysis of P2P derived amphetamine synthesis impurities: identification and characterization of indene by-products,2017,Drug Testing and Analysis,9,3,NA,446,452,NA,12,10.1002/dta.1944,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84954288740&doi=10.1002%2fdta.1944&partnerID=40&md5=416e151bf16b0799c6b99d1edd02356e,"Department of Pharmacology and Therapeutics, School of Medicine, Trinity Centre for Health Sciences, St James's Hospital, Dublin 8, Ireland; Forensic Science Ireland, Garda HQ, Phoenix Park, Dublin 8, Ireland; School of Chemistry, Trinity College Dublin, College Green, Dublin 2, Ireland; School of Pharmacy and Pharmaceutical Sciences, Trinity College Dublin, College Green, Dublin 2, Ireland; TCD Small Molecule X-Ray Facility, Trinity College Dublin, College Green, Dublin 2, Ireland; School of Pharmacy and Biomolecular Sciences, Liverpool John Moores University, Byrom Street, Liverpool, L3 3AF, United Kingdom","Power, J.D., Department of Pharmacology and Therapeutics, School of Medicine, Trinity Centre for Health Sciences, St James's Hospital, Dublin 8, Ireland, Forensic Science Ireland, Garda HQ, Phoenix Park, Dublin 8, Ireland; Kavanagh, P., Department of Pharmacology and Therapeutics, School of Medicine, Trinity Centre for Health Sciences, St James's Hospital, Dublin 8, Ireland; McLaughlin, G., Department of Pharmacology and Therapeutics, School of Medicine, Trinity Centre for Health Sciences, St James's Hospital, Dublin 8, Ireland; Dowling, G., Department of Pharmacology and Therapeutics, School of Medicine, Trinity Centre for Health Sciences, St James's Hospital, Dublin 8, Ireland; Barry, M.; O'Brien, J., School of Chemistry, Trinity College Dublin, College Green, Dublin 2, Ireland; Talbot, B., School of Pharmacy and Pharmaceutical Sciences, Trinity College Dublin, College Green, Dublin 2, Ireland; Twamley, B., TCD Small Molecule X-Ray Facility, Trinity College Dublin, College Green, Dublin 2, Ireland; Brandt, S.D., School of Pharmacy and Biomolecular Sciences, Liverpool John Moores University, Byrom Street, Liverpool, L3 3AF, United Kingdom",alpha-methylstyrene; APAAN; cyclic indene; impurities; P2P,"1 phenyl 2 propanone; 1 phenyl n(phenylethyl)propan 2 amine; 1,1,3 trimethyl 3 phenyl 2,3 dihydro 1h indene; 2 methyl 1 phenyl 1,3 dicarbonitrile 1h indene; 2,3 diacetyl 2,3 diphenylsuccinonitrile; acetone; acetonitrile derivative; alpha methylstyrene; alpha phenylacetoacetonitrile; amine; amphetamine; indene; nitrile; unclassified drug; 1-phenyl-2-propanone; acetone; alpha-methylstyrol; amphetamine; central stimulant agent; indene derivative; street drug; styrene derivative; Article; chemical reaction; crystal structure; dimerization; drug impurity; hydrolysis; Leuckart reaction; oxidation; pyrolysis; synthesis; analogs and derivatives; chemistry; drug contamination; liquid chromatography; mass fragmentography; molecular model; nuclear magnetic resonance spectroscopy; synthesis; X ray crystallography; Acetone; Amphetamine; Central Nervous System Stimulants; Chromatography, Liquid; Crystallography, X-Ray; Drug Contamination; Gas Chromatography-Mass Spectrometry; Indenes; Magnetic Resonance Spectroscopy; Models, Molecular; Street Drugs; Styrenes","Power, J.D.; Department of Pharmacology and Therapeutics, Ireland; email: jdpower@tcd.ie",Article,Final,"All Open Access, Green",Scopus,2-s2.0-84954288740,,IFSMS 2016,Drugs,Drugs
"Bartzatt R., Ehlers S., Handler N.",,Barbital assay by reversed phase high performance liquid chromatography,2013,Analytical Chemistry: An Indian Journal,13,6,,242,247,,,,https://scholar.google.com/scholar?hl=en&as_sdt=0%2C5&q=%22Barbital+assay+by+reversed+phase+high+performance%22&btnG=,"University of Nebraska, Durham Science Center, Department of Chemistry, 6001 Dodge Street Omaha, Nebraska 68182, United States","Bartzatt R., University of Nebraska, Durham Science Center, Department of Chemistry, 6001 Dodge Street Omaha, Nebraska 68182, United States; Ehlers S., University of Nebraska, Durham Science Center, Department of Chemistry, 6001 Dodge Street Omaha, Nebraska 68182, United States; Handler N., University of Nebraska, Durham Science Center, Department of Chemistry, 6001 Dodge Street Omaha, Nebraska 68182, United States",Barbital; Dethylbarbituric acid; HPLC; Barbiturates,,,,,,,,,IFSMS 2016,Drugs,Drugs
