Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Author Keywords,Index Keywords,Correspondence Address,Document Type,Publication Stage,Open Access,Source,EID,Active Webpage,Report,SubEvidence,Evidence
"LeBelle M.J., Savard C., Dawson B.A., Black D.B., Katyal L.K., Zrcek F., By A.W.",6701828273;6701738624;35549177100;7402568900;6505646032;8545463900;6603698542;,"Chiral identification and determination of ephedrine, pseudoephedrine, methamphetamine and metecathinone by gas chromatography and nuclear magnetic resonance",1995,Forensic Science International,71,3,,215,223,,64,10.1016/0379-0738(94)01669-0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0028957630&doi=10.1016%2f0379-0738%2894%2901669-0&partnerID=40&md5=5d4e4b2e9b7818456a95717dd061ebe1,"Pharmaceutical Chemistry Division, Bureau of Drug Research Banting Building, Tunney's Pasture, Ottawa, Ontario, Canada K1A OL2, Canada; Forensic Science Laboratory, Haryana Madhybam (Karnal), Karnal, India, India; Institute of Criminalistics, Criminal Police Centre, Prague, Czech Republic","LeBelle, M.J., Pharmaceutical Chemistry Division, Bureau of Drug Research Banting Building, Tunney's Pasture, Ottawa, Ontario, Canada K1A OL2, Canada; Savard, C., Pharmaceutical Chemistry Division, Bureau of Drug Research Banting Building, Tunney's Pasture, Ottawa, Ontario, Canada K1A OL2, Canada; Dawson, B.A., Pharmaceutical Chemistry Division, Bureau of Drug Research Banting Building, Tunney's Pasture, Ottawa, Ontario, Canada K1A OL2, Canada; Black, D.B., Pharmaceutical Chemistry Division, Bureau of Drug Research Banting Building, Tunney's Pasture, Ottawa, Ontario, Canada K1A OL2, Canada; Katyal, L.K., Forensic Science Laboratory, Haryana Madhybam (Karnal), Karnal, India, India; Zrcek, F., Institute of Criminalistics, Criminal Police Centre, Prague, Czech Republic; By, A.W., Pharmaceutical Chemistry Division, Bureau of Drug Research Banting Building, Tunney's Pasture, Ottawa, Ontario, Canada K1A OL2, Canada",Chiral derivatization; Chiral solvating reagent; Ephedrine; Gas chromatography; Methamphetamine; Methcathinone; Nuclear magnetic resonance; Resolution,"1 naphthol; drug derivative; ephedrine; methamphetamine; pseudoephedrine; alkalinity; article; chirality; drug determination; drug oxidation; drug structure; enantiomer; gas chromatography; mass spectrometry; nuclear magnetic resonance; priority journal; racemic mixture; Chromatography, Gas; Ephedrine; Magnetic Resonance Spectroscopy; Mass Fragmentography; Methamphetamine; Propiophenones; Stereoisomerism; Support, Non-U.S. Gov't","LeBelle, M.J.",Article,Final,,Scopus,2-s2.0-0028957630,,IFSMS 1995,Drugs,Drugs
"Munro C.H., White P.C.",7102387157;7404089071;,Evaluation of diazonium salts as visualization reagents for the thin layer chromatographic characterization of amphetamines,1995,Science and Justice,35,1,NA,37,44,NA,4,10.1016/S1355-0306(95)72626-0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0029027143&doi=10.1016%2fS1355-0306%2895%2972626-0&partnerID=40&md5=3aa69f6397d04d350f8b630e2dc15e80,"Forensic Science Unit, University of Strathclyde, 204 George Street, Glasgow, G1 1XW, United Kingdom","Munro, C.H., Forensic Science Unit, University of Strathclyde, 204 George Street, Glasgow, G1 1XW, United Kingdom; White, P.C., Forensic Science Unit, University of Strathclyde, 204 George Street, Glasgow, G1 1XW, United Kingdom",Amphetamine; Diazonium salts; Drugs of abuse; Fast Black salt; Thin layer chromatography,amphetamine; diazonium compound; methamphetamine; article; thin layer chromatography,"White, P.C.; Forensic Science Unit, University of Strathclyde, 204 George Street, Glasgow, G1 1XW, United Kingdom",Article,Final,NA,Scopus,2-s2.0-0029027143,,IFSMS 1995,Drugs,Drugs
"Chen Y.-P., Hsu M.-C., Sheng Chien C.",7601424473;8140846400;24286307000;,Analysis of forensic samples using precolumn derivatization with (+)-1-(9-fluorenyl)ethyl chloroformate and liquid chromatography with fluorimetric detection,1994,Journal of Chromatography A,672,1--2,NA,135,140,NA,21,10.1016/0021-9673(94)80601-2,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0028243671&doi=10.1016%2f0021-9673%2894%2980601-2&partnerID=40&md5=3827f9db3de91d96c0b43206de4a4405,"National Laboratories of Foods and Drugs, Department of Health, 161-2 Kuen-Yang St, Nankang, Taipei 11513, Taiwan","Chen, Y.-P., National Laboratories of Foods and Drugs, Department of Health, 161-2 Kuen-Yang St, Nankang, Taipei 11513, Taiwan; Hsu, M.-C., National Laboratories of Foods and Drugs, Department of Health, 161-2 Kuen-Yang St, Nankang, Taipei 11513, Taiwan; Sheng Chien, C., National Laboratories of Foods and Drugs, Department of Health, 161-2 Kuen-Yang St, Nankang, Taipei 11513, Taiwan",NA,methamphetamine; article; derivatization; drug control; enantiomer; fluorometry; high performance liquid chromatography; methodology; priority journal,"Hsu, M.-C.; National Laboratories of Foods and Drugs, Department of Health, 161-2 Kuen-Yang St, Nankang, Taipei 11513, Taiwan",Article,Final,NA,Scopus,2-s2.0-0028243671,,IFSMS 1995,Drugs,Drugs
"Longo M., Marttnes C., Cavallaro A., Rolandi L.",7101714575;56980552700;57190109695;57190110785;,Simple and fast determination of some phenethylamines in illicit tablets by base-deactivated reversed phase hplc,1994,Journal of Liquid Chromatography,17,3,NA,649,658,NA,19,10.1080/10826079408013166,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0028293375&doi=10.1080%2f10826079408013166&partnerID=40&md5=db783cf27c0c2ba0a13e783c0653d262,"Presidio Multizonale di Ieiene e Prevenzione, Via Juvara, 22 - 20129, Milano, Italy; Policlinico S. Matteo, Piazzale Golgi, 2 - 27100, Pavia, Italy","Longo, M., Presidio Multizonale di Ieiene e Prevenzione, Via Juvara, 22 - 20129, Milano, Italy; Marttnes, C., Presidio Multizonale di Ieiene e Prevenzione, Via Juvara, 22 - 20129, Milano, Italy; Cavallaro, A., Presidio Multizonale di Ieiene e Prevenzione, Via Juvara, 22 - 20129, Milano, Italy; Rolandi, L., Policlinico S. Matteo, Piazzale Golgi, 2 - 27100, Pavia, Italy",NA,"Acetonitrile; Chemical analysis; Organic compounds; Separation; Base deactivated reversed phase; Illicit tablets; Phenethylamines; High performance liquid chromatography; 3,4 methylenedioxyamphetamine; 3,4 methylenedioxymethamphetamine; amphetamine; illicit drug; methamphetamine; n ethyl 3,4 methylenedioxyamphetamine; article; drug control; drug determination; drug quality; reversed phase high performance liquid chromatography; tablet",NA,Article,Final,NA,Scopus,2-s2.0-0028293375,,IFSMS 1995,Drugs,Drugs
"Rizzi A.M., Hirz R., Cladrowa-Runge S., Jonsson H.",7101771463;6602238613;6507983044;7101845589;,"Enantiomeric separation of amphetamine, methamphetamine and ring substituted amphetamines by means of a Î²-cyclodextrin-chiral stationary phase",1994,Chromatographia,39,3--4,NA,131,137,NA,47,10.1007/BF02274491,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0028064981&doi=10.1007%2fBF02274491&partnerID=40&md5=40c23ece4b3b94ece8f65bc534484a72,"Institute of Analytical Chemistry, University of Vienna, WÃ¤hringerstraÃŸe 38, Vienna, 1090, Austria; Department of Forensic Sciences, Federal Ministry of Interior, Liechtenwerderplatz, Vienna, 1090, Austria","Rizzi, A.M., Institute of Analytical Chemistry, University of Vienna, WÃ¤hringerstraÃŸe 38, Vienna, 1090, Austria; Hirz, R., Department of Forensic Sciences, Federal Ministry of Interior, Liechtenwerderplatz, Vienna, 1090, Austria; Cladrowa-Runge, S., Institute of Analytical Chemistry, University of Vienna, WÃ¤hringerstraÃŸe 38, Vienna, 1090, Austria; Jonsson, H., Institute of Analytical Chemistry, University of Vienna, WÃ¤hringerstraÃŸe 38, Vienna, 1090, Austria",Amphetamine; Chiral separation; Column liquid chromatography; Cyclodextrin,amphetamine; amphetamine derivative; beta cyclodextrin; methamphetamine; article; drug isolation; drug purification; enantiomer; high performance liquid chromatography; methodology; priority journal,"Rizzi, A.M.; Institute of Analytical Chemistry, WÃ¤hringerstraÃŸe 38, Vienna, 1090, Austria",Article,Final,NA,Scopus,2-s2.0-0028064981,,IFSMS 1995,Drugs,Drugs
"Melgar R., Kelly R.C.",6603275043;57196885177;,A Novel GC/MS Derivatization Method for Amphetamines,1993,Journal of Analytical Toxicology,17,7,NA,399,402,NA,20,10.1093/jat/17.7.399,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0027490799&doi=10.1093%2fjat%2f17.7.399&partnerID=40&md5=44736d118ddaebb4d2ae89739183265b,"MEDTOX Bio-Analytical, 6160 Variel Avenue, Woodland Hills, CA, 91365, United States","Melgar, R., MEDTOX Bio-Analytical, 6160 Variel Avenue, Woodland Hills, CA, 91365, United States; Kelly, R.C., MEDTOX Bio-Analytical, 6160 Variel Avenue, Woodland Hills, CA, 91365, United States",NA,amphetamine; amphetamine derivative; n tert butyldimethylsilyl n methyl trifluoroacetamide; reagent; unclassified drug; accuracy; article; chemical reaction; drug determination; drug isolation; drug stability; gas chromatography; mass spectrometry; priority journal; Amphetamines; Human; Mass Fragmentography; Methamphetamine; Organosilicon Compounds; Substance Abuse Detection; Substance-Related Disorders; Trifluoroacetic Acid,"Melgar, R.; MEDTOX Bio-Analytical, 6160 Variel Avenue, Woodland Hills, CA, 91365, United States",Article,Final,NA,Scopus,2-s2.0-0027490799,,IFSMS 1995,Drugs,Drugs
"Bailey V.A., Buer L.O.",,"The Stability of Dimethylampbetamine Upon Exposure to Heat, Air and Moisture",1993,Microgram,62,,,96,,,,,,,,,,,,,,,,,IFSMS 1995,Drugs,Drugs
"Madden J.E., Pearson J.R., Rowe J.E.",57214519417;16139631600;7403256348;,"Differentiation of side chain isomers of methamphetamine using gas chromatography, high performance liquid chromatography and mass spectrometry",1993,Forensic Science International,61,2--3,NA,169,174,NA,4,10.1016/0379-0738(93)90223-W,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0027369369&doi=10.1016%2f0379-0738%2893%2990223-W&partnerID=40&md5=52dabae07d68cb18f93d25f38f5fab53,"Department of Chemistry, La Trobe University, Bundoora, Vic. 3083, Australia; Victorian State Forensic Science Laboratory, Forensic Drive, Macleod, Vic. 3085, Australia","Madden, J.E., Department of Chemistry, La Trobe University, Bundoora, Vic. 3083, Australia; Pearson, J.R., Victorian State Forensic Science Laboratory, Forensic Drive, Macleod, Vic. 3085, Australia; Rowe, J.E., Department of Chemistry, La Trobe University, Bundoora, Vic. 3083, Australia",Chromatographic analysis; Mass spectrometry; Methamphetamine; Positional isomers,methamphetamine; article; color; gas chromatography; high performance liquid chromatography; isomer; mass spectrometry; priority journal,"Rowe, J.E.; Department of Chemistry, La Trobe University, Bundoora, Vic. 3083, Australia",Article,Final,NA,Scopus,2-s2.0-0027369369,,IFSMS 1995,Drugs,Drugs
"Hideg Z.S., Dinya Z.",57224231206;7003637482;,A Simple and Rapid Method for the Identification of Amphetamine and Metamphetamine Hydrochlorides by Mass Spectrometry,1993,Analytical Letters,26,12,,2637,2647,,6,10.1080/00032719308017980,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0005279709&doi=10.1080%2f00032719308017980&partnerID=40&md5=7a38897cff8216e661b3b58a652f690e,"National Institute of Forensic Toxicology, Mokslininku 12, 2600, Budapest, Hungary; University of Debrecen, H-4010 Debrecen, PO Box 70, Hungary","Hideg, Z.S., National Institute of Forensic Toxicology, Mokslininku 12, 2600, Budapest, Hungary; Dinya, Z., National Institute of Forensic Toxicology, Mokslininku 12, 2600, Budapest, Hungary, University of Debrecen, H-4010 Debrecen, PO Box 70, Hungary",Amphetamine hydrocloride; Metamphetamine hydrochloride; Mass Spectrometry,,,Article,Final,,Scopus,2-s2.0-0005279709,,IFSMS 1995,Drugs,Drugs
Lurie I.S.,7006426157;,"Micellar electrokinetic capillary chromatography of the enantiomers of amphetamine, methamphetamine and their hydroxyphenethylamine precursors",1992,Journal of Chromatography A,605,2,NA,269,275,NA,87,10.1016/0021-9673(92)85246-P,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0026650613&doi=10.1016%2f0021-9673%2892%2985246-P&partnerID=40&md5=ab73bc916f8d287250a373fc51ad5663,"Drug Enforcement Administration, Special Testing and Research Laboratory, 7704 Old Springhouse Road, McLean, VA 22102-3494, United States","Lurie, I.S., Drug Enforcement Administration, Special Testing and Research Laboratory, 7704 Old Springhouse Road, McLean, VA 22102-3494, United States",NA,amphetamine; ephedrine; methamphetamine; norephedrine; norpseudoephedrine; pseudoephedrine; article; chromatography; enantiomer; human; priority journal,"Lurie, I.S.; Drug Enforcement Administration, Special Testing and Research Laboratory, 7704 Old Springhouse Road, McLean, VA 22102-3494, United States",Article,Final,NA,Scopus,2-s2.0-0026650613,,IFSMS 1995,Drugs,Drugs
