Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Author Keywords,Index Keywords,Correspondence Address,Document Type,Publication Stage,Open Access,Source,EID,Active Webpage,Report,SubEvidence,Evidence
"Brettell T.A., Inman K., Rudin N., Saferstein R.",6604035747;7004695057;6602114968;6603724137;,Forensic science,2001,Analytical Chemistry,73,12,NA,2735,2743,NA,18,10.1021/ac010399p,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0035874711&doi=10.1021%2fac010399p&partnerID=40&md5=531bf2066bfc86ee105a94c2bccb032d,"Forensic Science Bureau, New Jersey State Police, Box 7068 West Trenton, NJ 08628, United States; California Department of Justice DNA Laboratory, 626 Bancroft Way, Berkeley, CA 94710, United States; 1563 Solano Avenue #506, Berkeley, CA 94707, United States","Brettell, T.A., Forensic Science Bureau, New Jersey State Police, Box 7068 West Trenton, NJ 08628, United States; Inman, K., California Department of Justice DNA Laboratory, 626 Bancroft Way, Berkeley, CA 94710, United States; Rudin, N., 1563 Solano Avenue #506, Berkeley, CA 94707, United States; Saferstein, R.",NA,4 hydroxybutyric acid; alcohol; amphetamine derivative; benzodiazepine derivative; cannabinoid; cocaine; DNA; drug; explosive; gunpowder; lysergide; mitochondrial DNA; morphine; narcotic agent; petroleum; poison; volatile agent; autopsy; DNA determination; drug abuse; finger dermatoglyphics; forensic science; gas chromatography; gender identity; high performance liquid chromatography; human; mass spectrometry; population genetics; preservation; review; solid phase extraction; variable number of tandem repeat; DNA; Forensic Medicine; Humans; Petroleum; Pharmaceutical Preparations; Poisons,"Brettell, T.A.; Forensic Science Bureau, , West Trenton, NJ 08628, United States",Review,Final,NA,Scopus,2-s2.0-0035874711,,IFSMS 2001,Drugs,Drugs
Moffat A.C.,35978814000;,Drugs of abuse,2000,Science and Justice - Journal of the Forensic Science Society,40,2,NA,89,92,NA,NA,10.1016/S1355-0306(00)71949-6,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0033827231&doi=10.1016%2fS1355-0306%2800%2971949-6&partnerID=40&md5=2c34979ca166af260c8b603eb8cd93ae,"Roy. Pharmaceut. Soc. Great Britain, 1 Lambeth High Street, London SE1 7JN, United Kingdom","Moffat, A.C., Roy. Pharmaceut. Soc. Great Britain, 1 Lambeth High Street, London SE1 7JN, United Kingdom",NA,"2,5 dimethoxy 4 methylamphetamine; amobarbital; amphetamine derivative; anabolic agent; barbituric acid derivative; benzodiazepine derivative; cocaine; diamorphine; flunitrazepam; illicit drug; lysergide; mazindol; methylphenobarbital; phenethylamine derivative; phenobarbital; tryptamine; conference paper; crime; dangerous goods; drug abuse; drug determination; forensic identification; gas liquid chromatography; high performance liquid chromatography; laboratory test; law; police","Moffat, A.C.; Roy. Pharmaceut. Soc. Great Britain, 1 Lambeth High Street, London SE1 7JN, United Kingdom",Conference Paper,Final,NA,Scopus,2-s2.0-0033827231,,IFSMS 2001,Drugs,Drugs
"Brettell T.A., Inman K., Rudin N., Saferstein R.",6604035747;7004695057;6602114968;6603724137;,Forensic science,1999,Analytical Chemistry,71,12,NA,235R,255R,NA,9,NA,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0033564519&partnerID=40&md5=38ae03f6a8560a2b5f6f178e794220b1,"Forensic Science Bureau, New Jersey State Police, Box 7068, West Trenton, NJ 08625, United States; California Department of Justice, DNA Laboratory, 626 Bancroft Way, Berkeley, CA 94710, United States; 1563 Solano Ave. #506, Berkeley, CA 94707, United States; Box 1334, Mount Laurel, NJ 08054, United States; Drew University, Madison, NJ, United States; Lehigh University, Bethlehem, PA, United States; University of California, Berkeley, CA, United States; Pomona College, Claremont, CA, United States","Brettell, T.A., Forensic Science Bureau, New Jersey State Police, Box 7068, West Trenton, NJ 08625, United States, Drew University, Madison, NJ, United States, Lehigh University, Bethlehem, PA, United States; Inman, K., California Department of Justice, DNA Laboratory, 626 Bancroft Way, Berkeley, CA 94710, United States, University of California, Berkeley, CA, United States; Rudin, N., 1563 Solano Ave. #506, Berkeley, CA 94707, United States, Pomona College, Claremont, CA, United States; Saferstein, R., Box 1334, Mount Laurel, NJ 08054, United States",NA,"alcohol; amphetamine derivative; barbituric acid derivative; benzodiazepine derivative; cannabinoid; cocaine; drug; explosive; glass; gunpowder; HLA DQ antigen; morphine; morphine derivative; paint; petroleum derivative; poison; chemistry; DNA determination; drug analysis; finger dermatoglyphics; forensic science; gender identity; gene amplification; genotype; restriction fragment length polymorphism; review; tandem repeat; toxin analysis; Benzodiazepines; Chemistry, Analytical; Cocaine; Dermatoglyphics; DNA; DNA, Mitochondrial; Ethanol; Forensic Medicine; Genetic Techniques; Humans; Narcotics; Paint; Pharmaceutical Preparations; Poisons; Polymorphism, Restriction Fragment Length","Brettell, T.A.; Forensic Science Bureau, , West Trenton, NJ 08625, United States",Review,Final,NA,Scopus,2-s2.0-0033564519,,IFSMS 2001,Drugs,Drugs
Anonymous,,The Scientific Working Group for the Analysis of Seized Drugs (SWGDRUG),2001,Microgram,34,6,,136,,,,,,,,,,,,,,,,,IFSMS 2001,Drugs,Drugs
"Janovsky T.J., Bono J.P.",,The Scientific Working Group for the Analysis of Forensic Drug Samples (SWGDRUG) - Discussion of SWGDRUG recommendations,2001,Proceedings of the American Academy of Forensic Sciences,7,,,26,,,,,,,,,,,,,,,,,IFSMS 2001,Drugs,Drugs
"Di Pietra A.M., Gotti R., Del Borrello E., Pomponio R., Cavrini V.",7004681773;7004475689;57213654357;6701797186;7005441866;,Analysis of amphetamine and congeners in illicit samples by liquid chromatography and capillary electrophoresis,2001,Journal of Analytical Toxicology,25,2,NA,99,105,NA,13,10.1093/jat/25.2.99,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0035093071&doi=10.1093%2fjat%2f25.2.99&partnerID=40&md5=cc869354a3860c587e2b08fdeb1d144e,"Dipartimento di Scienze Farmaceutiche, UniversitÃ  di Bologna, Via Belmeloro 6, 40126 Bologna, Italy; Dipartimento di Medicina e SanitÃ  Pubblica - Sezione di Medicina Legale, UniversitÃ  di Bologna, Italy","Di Pietra, A.M., Dipartimento di Scienze Farmaceutiche, UniversitÃ  di Bologna, Via Belmeloro 6, 40126 Bologna, Italy; Gotti, R., Dipartimento di Scienze Farmaceutiche, UniversitÃ  di Bologna, Via Belmeloro 6, 40126 Bologna, Italy; Del Borrello, E., Dipartimento di Medicina e SanitÃ  Pubblica - Sezione di Medicina Legale, UniversitÃ  di Bologna, Italy; Pomponio, R., Dipartimento di Scienze Farmaceutiche, UniversitÃ  di Bologna, Via Belmeloro 6, 40126 Bologna, Italy; Cavrini, V., Dipartimento di Scienze Farmaceutiche, UniversitÃ  di Bologna, Via Belmeloro 6, 40126 Bologna, Italy",NA,"2 hydroxypropyl beta cyclodextrin; 3,4 methylenedioxyamphetamine; 3,4 methylenedioxymethamphetamine; amfepramone; amphetamine; amphetamine derivative; ephedrine; illicit drug; methamphetamine; article; capillary electrophoresis; chemical analysis; derivatization; drug determination; drug structure; enantiomer; high performance liquid chromatography; liquid chromatography; ultraviolet spectroscopy","Cavrini, V.; Dipartimento di Scienze Farmaceutiche, Via Belmeloro 6, 40126 Bologna, Italy; email: vcavrini@alma.unibo.it",Article,Final,NA,Scopus,2-s2.0-0035093071,,IFSMS 2001,Drugs,Drugs
"Kotai L., Keszler A., Kazinczy B.",6701524860;57212785032;6602926095;,The role of self-protonation under direct GC-MS determination of amphetamine hydrochloride,2001,Chromatographia,53,7--8,NA,447,449,NA,NA,10.1007/BF02491083,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0035062715&doi=10.1007%2fBF02491083&partnerID=40&md5=f8bbf2e833e490d065a0450082aa4a23,"Institute of Chemistry, Chemical Research Center, Hungarian Academy of Sciences, P.O. Box 17, 1525 Budapest, Hungary","KÃ³tai, L., Institute of Chemistry, Chemical Research Center, Hungarian Academy of Sciences, P.O. Box 17, 1525 Budapest, Hungary; Keszler, Ã., Institute of Chemistry, Chemical Research Center, Hungarian Academy of Sciences, P.O. Box 17, 1525 Budapest, Hungary; Kazinczy, B., Institute of Chemistry, Chemical Research Center, Hungarian Academy of Sciences, P.O. Box 17, 1525 Budapest, Hungary",Amphetamine; Amphetamine hydrochloride; Gas chromatography - mass spectrometry,amphetamine; illicit drug; article; chromatography; drug abuse; drug determination; drug structure; gas chromatography; mass spectrometry; measurement; priority journal,"KÃ³tai, L.; Institute of Chemistry, P.O. Box 17, 1525 Budapest, Hungary; email: kotail@cric.chemres.hu",Article,Final,NA,Scopus,2-s2.0-0035062715,,IFSMS 2001,Drugs,Drugs
"Praisler M., Dirinck I., Van Bocxlaer J., De Leenheer A., Massart D.L.",6602865205;6603297161;18839154000;7101848241;35473278300;,Identification of novel illicit amphetamines from vapor-phase FTIR spectra - A chemometrical solution,2000,Talanta,53,1,NA,155,170,NA,16,10.1016/S0039-9140(00)00461-6,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0034597378&doi=10.1016%2fS0039-9140%2800%2900461-6&partnerID=40&md5=f19cb8fa38635dabc21919ae4ab770ee,"Laboratory of Medical Biochemistry and Toxicology, Fac. Farmaceutische Wetenschappen, Ghent University, Harelbekestraat 72, 9000 Gent, Belgium; Department of Physics, University of Galati, Str. Domneasca 47, 6200 Galati, Belgium; Laboratory of Pharmaceutical and Biomedical Analysis, Free University of Brussels, Laarbeeklaan 103, 1090 Brussels, Belgium","Praisler, M., Laboratory of Medical Biochemistry and Toxicology, Fac. Farmaceutische Wetenschappen, Ghent University, Harelbekestraat 72, 9000 Gent, Belgium, Department of Physics, University of Galati, Str. Domneasca 47, 6200 Galati, Belgium; Dirinck, I., Laboratory of Medical Biochemistry and Toxicology, Fac. Farmaceutische Wetenschappen, Ghent University, Harelbekestraat 72, 9000 Gent, Belgium; Van Bocxlaer, J., Laboratory of Medical Biochemistry and Toxicology, Fac. Farmaceutische Wetenschappen, Ghent University, Harelbekestraat 72, 9000 Gent, Belgium; De Leenheer, A., Laboratory of Medical Biochemistry and Toxicology, Fac. Farmaceutische Wetenschappen, Ghent University, Harelbekestraat 72, 9000 Gent, Belgium; Massart, D.L., Laboratory of Pharmaceutical and Biomedical Analysis, Free University of Brussels, Laarbeeklaan 103, 1090 Brussels, Belgium",Amphetamines; Expert system; GC-FTIR; Spectra modeling,"Computer aided analysis; Computer simulation; Expert systems; Fourier transform infrared spectroscopy; Statistical methods; Amphetamines; Amines; 1 (3,4 methylenedioxyphenyl) 2 butanamine; 3,4 methylenedioxyamphetamine; 3,4 methylenedioxyamphetamine derivative; 3,4 methylenedioxymethamphetamine; alpha methylbenzylamine; amphetamine; amphetamine derivative; illicit drug; methamphetamine; n ethyl 3,4 methylenedioxyamphetamine; n ethylamphetamine; n hydroxy 3,4 methylenedioxyamphetamine; n methyl 1 (3,4 methylenedioxophenyl) 2 butanamine; n methyl 1 phenylethylamine; n,n propylamphetamine; phenethylamine derivative; unclassified drug; accuracy; autoanalysis; chemometric analysis; computer analysis; conference paper; drug abuse; drug determination; drug screening; drug structure; gas chromatography; infrared spectroscopy; molecular weight; powder; tablet",NA,Article,Final,NA,Scopus,2-s2.0-0034597378,,IFSMS 2001,Drugs,Drugs
Veress T.,6602301920;,Determination of amphetamine by HPLC after acetylation,2000,Journal of Forensic Sciences,45,1,NA,161,166,NA,5,10.1520/jfs14652j,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0033986096&doi=10.1520%2fjfs14652j&partnerID=40&md5=71e4691cb4b50528149a62c0fdfc200a,"Institute for Forensic Sciences, P.O. Box 314/4, Budapest H-1903, Hungary","Veress, T., Institute for Forensic Sciences, P.O. Box 314/4, Budapest H-1903, Hungary",Acetylation; Amphetamine; Derivatization; Determination; Forensic science; High-performance liquid chromatography; Substance abuse,amphetamine; article; drug acetylation; drug determination; high performance liquid chromatography; priority journal; substance abuse,"Veress, T.; Institute for Forensic Sciences, P.O. Box 314/4, Budapest H-1903, Hungary",Article,Final,NA,Scopus,2-s2.0-0033986096,,IFSMS 2001,Drugs,Drugs
"Mancinelli R., Gentili S., Guiducci M.S., MacChia T.",7005982465;7004229303;6603300884;6603703548;,Simple and reliable high-performance liquid chromatography fluorimetric procedure for the determination of amphetamine-derived designer drugs,1999,Journal of Chromatography B: Biomedical Sciences and Applications,735,2,NA,243,253,NA,21,10.1016/S0378-4347(99)00440-5,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0032745890&doi=10.1016%2fS0378-4347%2899%2900440-5&partnerID=40&md5=515e1ee3a66699060d4a965a142d54b4,"Clin. Biochem. Dept. - Drug Abuse S., Ist. Superiore San., Viale Regina E., Rome, Italy","Mancinelli, R., Clin. Biochem. Dept. - Drug Abuse S., Ist. Superiore San., Viale Regina E., Rome, Italy; Gentili, S., Clin. Biochem. Dept. - Drug Abuse S., Ist. Superiore San., Viale Regina E., Rome, Italy; Guiducci, M.S., Clin. Biochem. Dept. - Drug Abuse S., Ist. Superiore San., Viale Regina E., Rome, Italy; MacChia, T., Clin. Biochem. Dept. - Drug Abuse S., Ist. Superiore San., Viale Regina E., Rome, Italy",Amphetamines; Methylenedioxylated amphetamines,"1 (1,3 benzodioxol 5 yl) n methyl 2 butanamine; 3,4 methylenedioxyamphetamine; 3,4 methylenedioxymethamphetamine; amphetamine derivative; designer drug; n ethyl 3,4 methylenedioxyamphetamine; street drug; analytic method; article; controlled study; fluorometry; forensic medicine; high performance liquid chromatography; human; priority journal; reliability; saliva; sample; tablet; urine; Amphetamines; Body Fluids; Chromatography, High Pressure Liquid; Designer Drugs; Humans; Reproducibility of Results; Sensitivity and Specificity; Spectrometry, Fluorescence","Mancinelli, R.; Clinical Biochemistry Department, Viale Regina Elena 299, 00161 Rome, Italy; email: t.macchia@iss.it",Article,Final,NA,Scopus,2-s2.0-0032745890,,IFSMS 2001,Drugs,Drugs
