Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Author Keywords,Index Keywords,Correspondence Address,Document Type,Publication Stage,Open Access,Source,EID,Active Webpage,Report,SubEvidence,Evidence
"Pastor-Navarro M.D., Porras-Serrano R., Herraez-Hernandez R., Campi­ns-Falco P.",6507383354;6507376562;7003806955;7005602260;,Automated determination of amphetamine enantiomers using a two-dimensional column-switching chromatographic system for derivatization and separation,1998,Analyst,123,2,NA,319,324,NA,19,10.1039/a706690b,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0031918621&doi=10.1039%2fa706690b&partnerID=40&md5=7c0d141a8539b549e07ce0cd98a15421,"Departamento de QuÃ­mica AnalÃ­tica, Facultad de QuÃ­mica, Universidad de Valencia, Doctor Moliner 50, 46100-Burjassot, Valencia, Spain","Pastor-Navarro, M.D., Departamento de QuÃ­mica AnalÃ­tica, Facultad de QuÃ­mica, Universidad de Valencia, Doctor Moliner 50, 46100-Burjassot, Valencia, Spain; Porras-Serrano, R., Departamento de QuÃ­mica AnalÃ­tica, Facultad de QuÃ­mica, Universidad de Valencia, Doctor Moliner 50, 46100-Burjassot, Valencia, Spain; HerrÃ¡ez-HernÃ¡ndez, R., Departamento de QuÃ­mica AnalÃ­tica, Facultad de QuÃ­mica, Universidad de Valencia, Doctor Moliner 50, 46100-Burjassot, Valencia, Spain; CampÃ­ns-FalcÃ³, P., Departamento de QuÃ­mica AnalÃ­tica, Facultad de QuÃ­mica, Universidad de Valencia, Doctor Moliner 50, 46100-Burjassot, Valencia, Spain",Amphetamine enantiomers; Column switching; High-performance liquid chromatography; On-line derivatization; Pharmaceuticals; Urine,acetic acid; acetonitrile; acetylcysteine; amphetamine; methanol; phthalaldehyde; article; averaging; calibration; controlled study; derivatization; drug urine level; enantiomer; fluorescence analysis; high performance liquid chromatography; reproducibility,"Campins-Falco, P.; Departamento de Quimica Analitica, Doctor Moliner 50, 46100-Burjassot, Valencia, Spain",Article,Final,NA,Scopus,2-s2.0-0031918621,,IFSMS 1998,Drugs,Drugs
"Dasgupta A., Hart A.P.",7202437241;7201705367;,"Distinguishing amphetamine, methamphetamine and 3,4- methylenedioxymethamphetamine from other sympathomimetic amines after rapid derivatization with propyl chloroformate and analysis by gas chromatography- chemical ionization mass spectrometry",1997,Journal of Forensic Sciences,42,1,NA,106,110,NA,16,10.1520/jfs14076j,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0031012074&doi=10.1520%2fjfs14076j&partnerID=40&md5=1b86a449b3141f14ce51b5c603b2ac49,"Deparment of Pathology, Clin. Chem. and Toxicol. Laboratory, Univ. of New Mex. Hlth. Sci. Center, NM, United States; Department of Pathology, University of New Mexico, School of Medicine, Albuquerque, NM, United States; Pathology Services, University of New Mexico Hospital, 2211 Lomas Blvd N.E., Albuquerque, NM 87106, United States","Dasgupta, A., Deparment of Pathology, Clin. Chem. and Toxicol. Laboratory, Univ. of New Mex. Hlth. Sci. Center, NM, United States, Pathology Services, University of New Mexico Hospital, 2211 Lomas Blvd N.E., Albuquerque, NM 87106, United States; Hart, A.P., Department of Pathology, University of New Mexico, School of Medicine, Albuquerque, NM, United States","chemical ionization; ephedrine; forensic science; forensic toxicology; methamphetamine; N-methyl-3,4- methylenedioxy amphetamine (MDMA); phenylpropanolamine; propyl chloroformate; pseudoephedrine","3,4 methylenedioxyamphetamine; amphetamine; methamphetamine; pseudoephedrine; article; drug determination; forensic identification; gas chromatography; mass spectrometry; priority journal","Dasgupta, A.; Pathology Services, 2211 Lomas Blvd N.E., Albuquerque, NM 87106, United States",Article,Final,NA,Scopus,2-s2.0-0031012074,,IFSMS 1998,Drugs,Drugs
"Esseiva P., Lock E., Gueniat O., Cole M.D.",8660271000;7005050024;6506195979;7401806353;,Identification and quantification of amphetamine and analogues by capillary zone electrophoresis,1997,Science and Justice - Journal of the Forensic Science Society,37,2,NA,113,119,NA,20,10.1016/S1355-0306(97)72156-7,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0030973055&doi=10.1016%2fS1355-0306%2897%2972156-7&partnerID=40&md5=7a0bec0be701075495e43323b134d82e,"Inst. Police Sci. et de Criminologie, University of Lausanne, BCH, Lausanne-Dorigny, CH-1002, Switzerland; Forensic Science Unit, University of Strathclyde, 204 George Street, Glasgow, G1 1XW, United Kingdom","Esseiva, P., Inst. Police Sci. et de Criminologie, University of Lausanne, BCH, Lausanne-Dorigny, CH-1002, Switzerland; Lock, E., Inst. Police Sci. et de Criminologie, University of Lausanne, BCH, Lausanne-Dorigny, CH-1002, Switzerland; Gueniat, O., Inst. Police Sci. et de Criminologie, University of Lausanne, BCH, Lausanne-Dorigny, CH-1002, Switzerland; Cole, M.D., Forensic Science Unit, University of Strathclyde, 204 George Street, Glasgow, G1 1XW, United Kingdom","(+)-N-methyl-1-(1,3-benzodioxol-5-yl)-2-butanamine; 1-(1,3-Benzodioxol-5-yl)-2-butanamine; 2,5-Dimethoxy-4-bromoamphetamine; 2,5-Dimethoxy-4-methylamphetamine; Amphetamine; Capillary zone electrophoresis; Drug profiling; Forensic science; Methamphetamine; Methylenedioxamphetamine; Methylenedioxyethylamphetamine; Methylenedioxymethylamphetamine",amphetamine; amphetamine derivative; ephedrine; article; capillary zone electrophoresis; diode; drug identification; gas chromatography; hydrodynamics; intermethod comparison; quantitative assay,"Cole, M.D.; Forensic Science Unit, 204 George Street, Glasgow G1 1XW, United Kingdom",Article,Final,NA,Scopus,2-s2.0-0030973055,,IFSMS 1998,Drugs,Drugs
"Sadeghipour F., Varesio E., Giroud C., Rivier L., Veuthey J.L.",56013251100;6602092290;7005963282;7003894516;7006610231;,Analysis of amphetamines by capillary electrophoresis and liquid chromatography: Application to drug seizures and cross-validation,1997,Forensic Science International,86,1--2,NA,1,13,NA,32,10.1016/S0379-0738(96)02101-9,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0030935947&doi=10.1016%2fS0379-0738%2896%2902101-9&partnerID=40&md5=89223285093af4977647a3d5a8151785,"Lab. de Chim. Analytique Pharmaceut., Univ. de GenÃ¨ve, 1211 4, GenÃ¨ve, Switzerland; Lab. de Toxicologie Analytique, Inst. de Med. LÃ©gale, 1005, Lausanne, Switzerland","Sadeghipour, F., Lab. de Chim. Analytique Pharmaceut., Univ. de GenÃ¨ve, 1211 4, GenÃ¨ve, Switzerland; Varesio, E., Lab. de Chim. Analytique Pharmaceut., Univ. de GenÃ¨ve, 1211 4, GenÃ¨ve, Switzerland; Giroud, C., Lab. de Toxicologie Analytique, Inst. de Med. LÃ©gale, 1005, Lausanne, Switzerland; Rivier, L., Lab. de Toxicologie Analytique, Inst. de Med. LÃ©gale, 1005, Lausanne, Switzerland; Veuthey, J.L., Lab. de Chim. Analytique Pharmaceut., Univ. de GenÃ¨ve, 1211 4, GenÃ¨ve, Switzerland",Amphetamines; Capillary electrophoresis; HPLC; Illicit drugs; Validation,amphetamine derivative; illicit drug; accuracy; article; capillary electrophoresis; chemical structure; drug analysis; gas chromatography; high performance liquid chromatography; mass spectrometry; priority journal; statistical analysis,"Veuthey, J.L.; Lab Chimie Analytique Pharmaceutique, , 1211 Geneve 4, Switzerland",Article,Final,NA,Scopus,2-s2.0-0030935947,,IFSMS 1998,Drugs,Drugs
"Sadeghipour F., Giroud C., Rivier L., Veuthey J.-L.",56013251100;7005963282;7003894516;7006610231;,Rapid determination of amphetamines by high-performance liquid chromatography with UV detection,1997,Journal of Chromatography A,761,1--2,NA,71,78,NA,24,10.1016/S0021-9673(96)00879-5,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0031567011&doi=10.1016%2fS0021-9673%2896%2900879-5&partnerID=40&md5=c615391747d854507dab7c6b0eba0431,"Lab. de Chim. Analytique Pharmaceut., UniversitÃ© de GenÃ¨ve, CH-1211 GenÃ¨ve 4, Switzerland; Lab. de Toxicologie Analytique, Inst. Univ. de Medecine Legale, 1005 Lausanne, Switzerland","Sadeghipour, F., Lab. de Chim. Analytique Pharmaceut., UniversitÃ© de GenÃ¨ve, CH-1211 GenÃ¨ve 4, Switzerland; Giroud, C., Lab. de Toxicologie Analytique, Inst. Univ. de Medecine Legale, 1005 Lausanne, Switzerland; Rivier, L., Lab. de Toxicologie Analytique, Inst. Univ. de Medecine Legale, 1005 Lausanne, Switzerland; Veuthey, J.-L., Lab. de Chim. Analytique Pharmaceut., UniversitÃ© de GenÃ¨ve, CH-1211 GenÃ¨ve 4, Switzerland",Amines; Amphetamines; Forensic analysis,"3,4 methylenedioxyamphetamine; 3,4 methylenedioxymethamphetamine; acetylsalicylic acid; amphetamine; amphetamine derivative; caffeine; ephedrine; illicit drug; lactose; mannitol; methamphetamine; n ethyl 3,4 methylenedioxyamphetamine; paracetamol; phenethylamine; sodium chloride; sucrose; article; calibration; drug determination; drug mixture; gas chromatography; intermethod comparison; mass spectrometry; priority journal; quantitative assay; reproducibility; reversed phase high performance liquid chromatography; tablet; technique; ultraviolet spectrophotometry","Veuthey, J.-L.; Lab. Chimie Analytique Pharmaceut., , CH-1211 Geneve 4, Switzerland",Article,Final,NA,Scopus,2-s2.0-0031567011,,IFSMS 1998,Drugs,Drugs
"Van Bocxlaer J.F., Lambert W.E., Thienpont L., De Leenheer A.P.",18839154000;7102016056;7004932934;7101848241;,Quantitative determination of amphetamine and Î±-phenylethylamine enantiomers in judicial samples using capillary gas chromatography,1997,Journal of Analytical Toxicology,21,1,NA,5,11,NA,25,10.1093/jat/21.1.5,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0031034297&doi=10.1093%2fjat%2f21.1.5&partnerID=40&md5=73791e0d26378e344fcb04f987477edb,"Laboratorium voor Toxicologie, Universiteit Gent, Harelbekestraat 72, B-9000 Gent, Belgium; Laboratorium voor Analytische Chemie, Universiteit Gent, Harelbekestraat 72, B-9000 Gent, Belgium","Van Bocxlaer, J.F., Laboratorium voor Toxicologie, Universiteit Gent, Harelbekestraat 72, B-9000 Gent, Belgium; Lambert, W.E., Laboratorium voor Toxicologie, Universiteit Gent, Harelbekestraat 72, B-9000 Gent, Belgium; Thienpont, L., Laboratorium voor Analytische Chemie, Universiteit Gent, Harelbekestraat 72, B-9000 Gent, Belgium; De Leenheer, A.P., Laboratorium voor Toxicologie, Universiteit Gent, Harelbekestraat 72, B-9000 Gent, Belgium",NA,alpha methylbenzylamine; amphetamine derivative; caffeine; trifluoroacetic acid; article; capillary gas chromatography; drug determination; enantiomer; Fourier transformation; quantitative diagnosis; stereochemistry; urinalysis,"De Leenheer, A.P.; Laboratorium voor Toxicologie, Harelbekestraat 72, B-9000 Gent, Belgium",Article,Final,"All Open Access, Bronze, Green",Scopus,2-s2.0-0031034297,,IFSMS 1998,Drugs,Drugs
"Kaufman M.S., Hatzis A.C., Stuart J.G.",7202849574;57213627770;7202131974;,Negative-ion chemical ionization of amphetamine derivatives,1996,Journal of Mass Spectrometry,31,8,NA,913,920,NA,6,10.1002/(SICI)1096-9888(199608)31:8<913::AID-JMS375>3.0.CO;2-U,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0029776753&doi=10.1002%2f%28SICI%291096-9888%28199608%2931%3a8%3c913%3a%3aAID-JMS375%3e3.0.CO%3b2-U&partnerID=40&md5=3cbad5c642d7dbc4bd7cad77d24feedc,"Armstrong Laboratory, Drug Testing Division, Brooks AFB, 2601 West Road, San Antonio, TX 78235-5240, United States; Aaron Baker Science Building, Wiley College, 711 Wiley Avenue, Marshall, TX 75670, United States","Kaufman, M.S., Armstrong Laboratory, Drug Testing Division, Brooks AFB, 2601 West Road, San Antonio, TX 78235-5240, United States; Hatzis, A.C., Armstrong Laboratory, Drug Testing Division, Brooks AFB, 2601 West Road, San Antonio, TX 78235-5240, United States; Stuart, J.G., Aaron Baker Science Building, Wiley College, 711 Wiley Avenue, Marshall, TX 75670, United States",Amphetamines; Gas chromatography/mass spectrometry; N-substituted amphetamines; Negative-ion chemical ionization,"2 methoxymethamphetamine; 3,4 methylenedioxyamphetamine; 3,4 methylenedioxymethamphetamine; 4 methoxyamphetamine; 4 methylamphetamine; amphetamine; amphetamine derivative; chloramphetamine; methamphetamine; n ethylamphetamine; analytic method; article; gas chromatography; ionization; mass spectrometry; priority journal","Kaufman, M.S.; Armstrong Lab Drug Testing Division, 2601 West Road, Brooks AFB, TX 78235-5240, United States",Article,Final,NA,Scopus,2-s2.0-0029776753,,IFSMS 1998,Drugs,Drugs
"Makino Y., Ohta S., Hirobe M.",7202994614;7402024623;7005698540;,Enantiomeric separation of amphetamine by high-performance liquid chromatography using chiral crown ether-coated reversed-phase packing: Application to forensic analysis,1996,Forensic Science International,78,1,NA,65,70,NA,25,10.1016/0379-0738(95)01865-4,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0029872135&doi=10.1016%2f0379-0738%2895%2901865-4&partnerID=40&md5=b3a45eb3cf42d9f063ba83ea1edae269,"Kanto-Shin'etsu Regl. Narcotic C., Ministry of Health and Welfare, Nakameguro, Meguro-ku, Tokyo 153, Japan; Faculty of Medicine, University of Tokyo, Hongo, Bunkyo-ku, Tokyo 113, Japan; Faculty of Pharmaceutical Sciences, University of Tokyo, Hongo, Bunkyo-ku, Tokyo 113, Japan","Makino, Y., Kanto-Shin'etsu Regl. Narcotic C., Ministry of Health and Welfare, Nakameguro, Meguro-ku, Tokyo 153, Japan; Ohta, S., Faculty of Medicine, University of Tokyo, Hongo, Bunkyo-ku, Tokyo 113, Japan; Hirobe, M., Faculty of Pharmaceutical Sciences, University of Tokyo, Hongo, Bunkyo-ku, Tokyo 113, Japan",Amphetamine; Chiral crown ether column; High-performance liquid chromatography; Norephedrine; Optical resolution; Primary amine,amphetamine; crown ether; methamphetamine; norephedrine; analytic method; article; controlled study; drug isolation; drug synthesis; drug urine level; enantiomer; forensic science; high performance liquid chromatography; optical resolution; priority journal; reversed phase high performance liquid chromatography,"Makino, Y.; Kanto-Shin'etsu Reg Narc Ctrl Office, , Nakameguro, Meguro-ku, Tokyo 153, Japan",Article,Final,NA,Scopus,2-s2.0-0029872135,,IFSMS 1998,Drugs,Drugs
"Shin H.-S., Donike M.",35325549200;7003397492;,"Stereospecific Derivatization of Amphetamines, Phenol Alkylamines, and Hydroxyamines and Quantification of the Enantiomers by Capillary GC/MS",1996,Analytical Chemistry,68,17,NA,3015,3020,NA,48,10.1021/ac960365v,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0030248467&doi=10.1021%2fac960365v&partnerID=40&md5=62aaaf08ec20dd07c5a159dd15b7a9c7,"Korea Water Works Institute, 86-3, Yangpyung-dong, Youngdungpo-gu, Seoul, South Korea; Institut fuer Biochemie, Carl-Diem-Weg 6, Koeln 41, Germany","Shin, H.-S., Korea Water Works Institute, 86-3, Yangpyung-dong, Youngdungpo-gu, Seoul, South Korea; Donike, M., Institut fuer Biochemie, Carl-Diem-Weg 6, Koeln 41, Germany",NA,Acylation; Chemical reactions; Derivatives; Ethers; High performance liquid chromatography; Mass spectrometry; Organic compounds; Salts; Separation; Amphetamines; Enantiomers; Hydroxyamines; Methoxytrifluoromethyl phenylacetyl chloride; Phenol alkylamines; Selected ion monitoring; Stereospecific derivatization; Gas chromatography; amphetamine derivative; phenethylamine derivative; article; derivatization; drug determination; enantiomer; gas liquid chromatography; mass spectrometry; quantitative assay; technique,"Shin, H.-S.; Korea Water Works Institute, 86-3, Yangpyung-dong, Youngdungpo-gu, Seoul, South Korea",Article,Final,NA,Scopus,2-s2.0-0030248467,,IFSMS 1998,Drugs,Drugs
"Wang Z., Sun Y., Sun Z.",57192240142;7406432387;7404239155;,Enantiomeric separation of amphetamine and phenylephrine by cyclodextrin-mediated capillary zone electrophoresis,1996,Journal of Chromatography A,735,1--2,NA,295,301,NA,34,10.1016/0021-9673(95)01273-7,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0030003215&doi=10.1016%2f0021-9673%2895%2901273-7&partnerID=40&md5=0cda610aff6078c8f61d9fe3fe713aef,"Department of Chemistry, Peking University, Beijing 100871, China; Natl. Inst. Contr. Pharmaceutical B., Beijing 100050, China","Wang, Z., Department of Chemistry, Peking University, Beijing 100871, China; Sun, Y., Department of Chemistry, Peking University, Beijing 100871, China; Sun, Z., Natl. Inst. Contr. Pharmaceutical B., Beijing 100050, China",Amphetamine; Buffer composition; Cyclodextrins; Enantiomer separation; Methamphetamine; Phenylephrine,amphetamine; buffer; cyclodextrin; methamphetamine; phenylephrine; article; chirality; electroosmosis; electrophoresis; enantiomer; priority journal; zone electrophoresis,"Sun, Y.; Department of Chemistry, , Beijing 100871, China",Article,Final,NA,Scopus,2-s2.0-0030003215,,IFSMS 1998,Drugs,Drugs
